Bates/Control #,Bates/Control #,End Bates/Control #,RFP: RFP 1,RFP: RFP 2,RFP: RFP 3,RFP: RFP 4,RFP: RFP 5,RFP: RFP 6,RFP: RFP 7,RFP: RFP 8,RFP: RFP 9,RFP: RFP 10,RFP: RFP 11,RFP: RFP 12
SYNLCPLD023-0000229,SYNLCPLD023-0000229,SYNLCPLD023-0000229,,,,,,,,,Yes,Yes,,
SYNLCPLD023-0000233,SYNLCPLD023-0000233,SYNLCPLD023-0000234,,,,,,,,,Yes,,Yes,
SYNLCPLD023-0000237,SYNLCPLD023-0000237,SYNLCPLD023-0000239,,,,,,,,,Yes,,,Yes
SYNLCPLD023-0000241,SYNLCPLD023-0000241,SYNLCPLD023-0000241,Yes,,,,,,,,Yes,,,
SYNLCPLD023-0000245,SYNLCPLD023-0000245,SYNLCPLD023-0000246,,Yes,,,,,,,Yes,,,
SYNLCPLD023-0000249,SYNLCPLD023-0000249,SYNLCPLD023-0000251,,,Yes,,,,,,Yes,,,
SYNLCPLD023-0000253,SYNLCPLD023-0000253,SYNLCPLD023-0000253,,,,Yes,,,,,,Yes,,
SYNLCPLD023-0000257,SYNLCPLD023-0000257,SYNLCPLD023-0000258,,,,,Yes,,,,,Yes,,
SYNLCPLD023-0000261,SYNLCPLD023-0000261,SYNLCPLD023-0000263,,,,,,Yes,,,,Yes,,
SYNLCPLD023-0000265,SYNLCPLD023-0000265,SYNLCPLD023-0000265,,,,,,,Yes,,,Yes,,
SYNLCPLD023-0000269,SYNLCPLD023-0000269,SYNLCPLD023-0000270,,,,,,,,Yes,,Yes,,
SYNLCPLD023-0000273,SYNLCPLD023-0000273,SYNLCPLD023-0000275,,,,,,,,,Yes,Yes,,
SYNLCPLD023-0000277,SYNLCPLD023-0000277,SYNLCPLD023-0000277,,,,,,,,,,Yes,,
SYNLCPLD023-0000281,SYNLCPLD023-0000281,SYNLCPLD023-0000282,,,,,,,,,,,Yes,
SYNLCPLD023-0000285,SYNLCPLD023-0000285,SYNLCPLD023-0000287,,,,,,,,,,,Yes,Yes
SYNLCPLD023-0000289,SYNLCPLD023-0000289,SYNLCPLD023-0000289,Yes,,,,,,,,,,Yes,
SYNLCPLD023-0000293,SYNLCPLD023-0000293,SYNLCPLD023-0000294,,Yes,,,,,,,,,Yes,
SYNLCPLD023-0000297,SYNLCPLD023-0000297,SYNLCPLD023-0000299,,,Yes,,,,,,,,Yes,
SYNLCPLD023-0000301,SYNLCPLD023-0000301,SYNLCPLD023-0000301,,,,Yes,,,,,,,Yes,
SYNLCPLD023-0000305,SYNLCPLD023-0000305,SYNLCPLD023-0000306,,,,,Yes,,,,,,Yes,
SYNLCPLD023-0000309,SYNLCPLD023-0000309,SYNLCPLD023-0000311,,,,,,Yes,,,,,,Yes
SYNLCPLD023-0000313,SYNLCPLD023-0000313,SYNLCPLD023-0000313,,,,,,,Yes,,,,,Yes
SYNLCPLD023-0000317,SYNLCPLD023-0000317,SYNLCPLD023-0000318,,,,,,,,Yes,,,,Yes
SYNLCPLD023-0000321,SYNLCPLD023-0000321,SYNLCPLD023-0000323,,,,,,,,,Yes,,,Yes
SYNLCPLD023-0000325,SYNLCPLD023-0000325,SYNLCPLD023-0000325,,,,,,,,,,Yes,,Yes
SYNLCPLD023-0000329,SYNLCPLD023-0000329,SYNLCPLD023-0000330,,,,,,,,,,,Yes,Yes
SYNLCPLD023-0000333,SYNLCPLD023-0000333,SYNLCPLD023-0000335,,,,,,,,,,,,Yes
SYNLCPLD023-0000337,SYNLCPLD023-0000337,SYNLCPLD023-0000337,Yes,,,,,,,,,,,
SYNLCPLD023-0000341,SYNLCPLD023-0000341,SYNLCPLD023-0000342,Yes,Yes,,,,,,,,,,
SYNLCPLD023-0000345,SYNLCPLD023-0000345,SYNLCPLD023-0000347,Yes,,Yes,,,,,,,,,
SYNLCPLD023-0000349,SYNLCPLD023-0000349,SYNLCPLD023-0000349,Yes,,,Yes,,,,,,,,
SYNLCPLD023-0000353,SYNLCPLD023-0000353,SYNLCPLD023-0000354,Yes,,,,Yes,,,,,,,
SYNLCPLD023-0000357,SYNLCPLD023-0000357,SYNLCPLD023-0000359,Yes,,,,,Yes,,,,,,
SYNLCPLD023-0000361,SYNLCPLD023-0000361,SYNLCPLD023-0000361,Yes,,,,,,Yes,,,,,
SYNLCPLD023-0000365,SYNLCPLD023-0000365,SYNLCPLD023-0000366,,Yes,,,,,,Yes,,,,
SYNLCPLD023-0000369,SYNLCPLD023-0000369,SYNLCPLD023-0000371,,Yes,,,,,,,Yes,,,
SYNLCPLD023-0000373,SYNLCPLD023-0000373,SYNLCPLD023-0000373,,Yes,,,,,,,,Yes,,
SYNLCPLD023-0000377,SYNLCPLD023-0000377,SYNLCPLD023-0000378,,Yes,,,,,,,,,Yes,
SYNLCPLD023-0000381,SYNLCPLD023-0000381,SYNLCPLD023-0000383,,Yes,,,,,,,,,,Yes
SYNLCPLD023-0000385,SYNLCPLD023-0000385,SYNLCPLD023-0000385,Yes,Yes,,,,,,,,,,
SYNLCPLD023-0000389,SYNLCPLD023-0000389,SYNLCPLD023-0000390,,Yes,,,,,,,,,,
SYNLCPLD023-0000393,SYNLCPLD023-0000393,SYNLCPLD023-0000395,,,Yes,,,,,,,,,
SYNLCPLD023-0000397,SYNLCPLD023-0000397,SYNLCPLD023-0000397,,,Yes,Yes,,,,,,,,
SYNLCPLD023-0000401,SYNLCPLD023-0000401,SYNLCPLD023-0000402,,,Yes,,Yes,,,,,,,
SYNLCPLD023-0000405,SYNLCPLD023-0000405,SYNLCPLD023-0000407,,,Yes,,,Yes,,,,,,
SYNLCPLD023-0000409,SYNLCPLD023-0000409,SYNLCPLD023-0000409,,,Yes,,,,Yes,,,,,
SYNLCPLD023-0000413,SYNLCPLD023-0000413,SYNLCPLD023-0000414,,,Yes,,,,,Yes,,,,
SYNLCPLD023-0000417,SYNLCPLD023-0000417,SYNLCPLD023-0000419,,,Yes,,,,,,Yes,,,
SYNLCPLD023-0000421,SYNLCPLD023-0000421,SYNLCPLD023-0000421,,,,Yes,,,,,,Yes,,
SYNLCPLD023-0000425,SYNLCPLD023-0000425,SYNLCPLD023-0000426,,,,Yes,,,,,,,Yes,
SYNLCPLD023-0000429,SYNLCPLD023-0000429,SYNLCPLD023-0000431,,,,Yes,,,,,,,,Yes
SYNLCPLD023-0000433,SYNLCPLD023-0000433,SYNLCPLD023-0000433,Yes,,,Yes,,,,,,,,
SYNLCPLD023-0000437,SYNLCPLD023-0000437,SYNLCPLD023-0000438,,Yes,,Yes,,,,,,,,
SYNLCPLD023-0000441,SYNLCPLD023-0000441,SYNLCPLD023-0000443,,,Yes,Yes,,,,,,,,
SYNLCPLD023-0000445,SYNLCPLD023-0000445,SYNLCPLD023-0000445,,,,Yes,,,,,,,,
SYNLCPLD023-0000449,SYNLCPLD023-0000449,SYNLCPLD023-0000450,,,,,Yes,,,,,,,
SYNLCPLD023-0000453,SYNLCPLD023-0000453,SYNLCPLD023-0000455,,,,,Yes,Yes,,,,,,
SYNLCPLD023-0000457,SYNLCPLD023-0000457,SYNLCPLD023-0000457,,,,,Yes,,Yes,,,,,
SYNLCPLD023-0000461,SYNLCPLD023-0000461,SYNLCPLD023-0000462,,,,,Yes,,,Yes,,,,
SYNLCPLD023-0000465,SYNLCPLD023-0000465,SYNLCPLD023-0000467,,,,,Yes,,,,Yes,,,
SYNLCPLD023-0000469,SYNLCPLD023-0000469,SYNLCPLD023-0000469,,,,,Yes,,,,,Yes,,
SYNLCPLD023-0000473,SYNLCPLD023-0000473,SYNLCPLD023-0000474,,,,,Yes,,,,,,Yes,
SYNLCPLD023-0000477,SYNLCPLD023-0000477,SYNLCPLD023-0000479,,,,,,Yes,,,,,,Yes
SYNLCPLD023-0000481,SYNLCPLD023-0000481,SYNLCPLD023-0000481,Yes,,,,,Yes,,,,,,
SYNLCPLD023-0000485,SYNLCPLD023-0000485,SYNLCPLD023-0000486,,Yes,,,,Yes,,,,,,
SYNLCPLD023-0000489,SYNLCPLD023-0000489,SYNLCPLD023-0000491,,,Yes,,,Yes,,,,,,
SYNLCPLD023-0000493,SYNLCPLD023-0000493,SYNLCPLD023-0000493,,,,Yes,,Yes,,,,,,
SYNLCPLD023-0000497,SYNLCPLD023-0000497,SYNLCPLD023-0000498,,,,,Yes,Yes,,,,,,
SYNLCPLD023-0000501,SYNLCPLD023-0000501,SYNLCPLD023-0000503,,,,,,Yes,,,,,,
SYNLCPLD023-0000505,SYNLCPLD023-0000505,SYNLCPLD023-0000505,,,,,,,Yes,,,,,
SYNLCPLD023-0000509,SYNLCPLD023-0000509,SYNLCPLD023-0000510,,,,,,,Yes,Yes,,,,
SYNLCPLD023-0000513,SYNLCPLD023-0000513,SYNLCPLD023-0000515,,,,,,,Yes,,Yes,,,
SYNLCPLD023-0000517,SYNLCPLD023-0000517,SYNLCPLD023-0000517,,,,,,,Yes,,,Yes,,
SYNLCPLD023-0000521,SYNLCPLD023-0000521,SYNLCPLD023-0000522,,,,,,,Yes,,,,Yes,
SYNLCPLD023-0000525,SYNLCPLD023-0000525,SYNLCPLD023-0000527,,,,,,,Yes,,,,,Yes
SYNLCPLD023-0000529,SYNLCPLD023-0000529,SYNLCPLD023-0000529,Yes,,,,,,Yes,,,,,
SYNLCPLD023-0000533,SYNLCPLD023-0000533,SYNLCPLD023-0000534,,Yes,,,,,,Yes,,,,
SYNLCPLD023-0000537,SYNLCPLD023-0000537,SYNLCPLD023-0000539,,,Yes,,,,,Yes,,,,
SYNLCPLD023-0000541,SYNLCPLD023-0000541,SYNLCPLD023-0000541,,,,Yes,,,,Yes,,,,
SYNLCPLD023-0000545,SYNLCPLD023-0000545,SYNLCPLD023-0000546,,,,,Yes,,,Yes,,,,
SYNLCPLD023-0000549,SYNLCPLD023-0000549,SYNLCPLD023-0000551,,,,,,Yes,,Yes,,,,
SYNLCPLD023-0000553,SYNLCPLD023-0000553,SYNLCPLD023-0000553,,,,,,,Yes,Yes,,,,
SYNLCPLD023-0000557,SYNLCPLD023-0000557,SYNLCPLD023-0000558,,,,,,,,Yes,,,,
SYNLCPLD023-0000561,SYNLCPLD023-0000561,SYNLCPLD023-0000563,,,,,,,,,Yes,,,
SYNLCPLD023-0000565,SYNLCPLD023-0000565,SYNLCPLD023-0000565,,,,,,,,,Yes,Yes,,
SYNLCPLD023-0000569,SYNLCPLD023-0000569,SYNLCPLD023-0000570,,,,,,,,,Yes,,Yes,
SYNLCPLD023-0000573,SYNLCPLD023-0000573,SYNLCPLD023-0000575,,,,,,,,,Yes,,,Yes
SYNLCPLD023-0000577,SYNLCPLD023-0000577,SYNLCPLD023-0000577,Yes,,,,,,,,Yes,,,
SYNLCPLD023-0000581,SYNLCPLD023-0000581,SYNLCPLD023-0000582,,Yes,,,,,,,Yes,,,
SYNLCPLD023-0000585,SYNLCPLD023-0000585,SYNLCPLD023-0000587,,,Yes,,,,,,Yes,,,
SYNLCPLD023-0000589,SYNLCPLD023-0000589,SYNLCPLD023-0000589,,,,Yes,,,,,,Yes,,
SYNLCPLD023-0000593,SYNLCPLD023-0000593,SYNLCPLD023-0000594,,,,,Yes,,,,,Yes,,
SYNLCPLD023-0000597,SYNLCPLD023-0000597,SYNLCPLD023-0000599,,,,,,Yes,,,,Yes,,
SYNLCPLD023-0000601,SYNLCPLD023-0000601,SYNLCPLD023-0000601,,,,,,,Yes,,,Yes,,
SYNLCPLD023-0000605,SYNLCPLD023-0000605,SYNLCPLD023-0000606,,,,,,,,Yes,,Yes,,
SYNLCPLD023-0000609,SYNLCPLD023-0000609,SYNLCPLD023-0000611,,,,,,,,,Yes,Yes,,
SYNLCPLD023-0000613,SYNLCPLD023-0000613,SYNLCPLD023-0000613,,,,,,,,,,Yes,,
SYNLCPLD023-0000617,SYNLCPLD023-0000617,SYNLCPLD023-0000618,,,,,,,,,,,Yes,
SYNLCPLD023-0000621,SYNLCPLD023-0000621,SYNLCPLD023-0000623,,,,,,,,,,,Yes,Yes
SYNLCPLD023-0000625,SYNLCPLD023-0000625,SYNLCPLD023-0000625,Yes,,,,,,,,,,Yes,
SYNLCPLD023-0000629,SYNLCPLD023-0000629,SYNLCPLD023-0000630,,Yes,,,,,,,,,Yes,
SYNLCPLD023-0000633,SYNLCPLD023-0000633,SYNLCPLD023-0000635,,,Yes,,,,,,,,Yes,
SYNLCPLD023-0000637,SYNLCPLD023-0000637,SYNLCPLD023-0000637,,,,Yes,,,,,,,Yes,
SYNLCPLD023-0000641,SYNLCPLD023-0000641,SYNLCPLD023-0000642,,,,,Yes,,,,,,Yes,
SYNLCPLD023-0000645,SYNLCPLD023-0000645,SYNLCPLD023-0000647,,,,,,Yes,,,,,,Yes
SYNLCPLD023-0000649,SYNLCPLD023-0000649,SYNLCPLD023-0000649,,,,,,,Yes,,,,,Yes
SYNLCPLD023-0000653,SYNLCPLD023-0000653,SYNLCPLD023-0000654,,,,,,,,Yes,,,,Yes
SYNLCPLD023-0000657,SYNLCPLD023-0000657,SYNLCPLD023-0000659,,,,,,,,,Yes,,,Yes
SYNLCPLD023-0000661,SYNLCPLD023-0000661,SYNLCPLD023-0000661,,,,,,,,,,Yes,,Yes
SYNLCPLD023-0000665,SYNLCPLD023-0000665,SYNLCPLD023-0000666,,,,,,,,,,,Yes,Yes
SYNLCPLD023-0000669,SYNLCPLD023-0000669,SYNLCPLD023-0000671,,,,,,,,,,,,Yes
SYNLCPLD023-0000673,SYNLCPLD023-0000673,SYNLCPLD023-0000673,Yes,,,,,,,,,,,
SYNLCPLD023-0000677,SYNLCPLD023-0000677,SYNLCPLD023-0000678,Yes,Yes,,,,,,,,,,
SYNLCPLD023-0000681,SYNLCPLD023-0000681,SYNLCPLD023-0000683,Yes,,Yes,,,,,,,,,
SYNLCPLD023-0000685,SYNLCPLD023-0000685,SYNLCPLD023-0000685,Yes,,,Yes,,,,,,,,
SYNLCPLD023-0000689,SYNLCPLD023-0000689,SYNLCPLD023-0000690,Yes,,,,Yes,,,,,,,
SYNLCPLD023-0000693,SYNLCPLD023-0000693,SYNLCPLD023-0000695,Yes,,,,,Yes,,,,,,
SYNLCPLD023-0000697,SYNLCPLD023-0000697,SYNLCPLD023-0000697,Yes,,,,,,Yes,,,,,
SYNLCPLD023-0000701,SYNLCPLD023-0000701,SYNLCPLD023-0000702,,Yes,,,,,,Yes,,,,
SYNLCPLD023-0000705,SYNLCPLD023-0000705,SYNLCPLD023-0000707,,Yes,,,,,,,Yes,,,
SYNLCPLD023-0000709,SYNLCPLD023-0000709,SYNLCPLD023-0000709,,Yes,,,,,,,,Yes,,
SYNLCPLD023-0000713,SYNLCPLD023-0000713,SYNLCPLD023-0000714,,Yes,,,,,,,,,Yes,
SYNLCPLD023-0000717,SYNLCPLD023-0000717,SYNLCPLD023-0000719,,Yes,,,,,,,,,,Yes
SYNLCPLD023-0000721,SYNLCPLD023-0000721,SYNLCPLD023-0000721,Yes,Yes,,,,,,,,,,
SYNLCPLD023-0000725,SYNLCPLD023-0000725,SYNLCPLD023-0000726,,Yes,,,,,,,,,,
SYNLCPLD023-0000729,SYNLCPLD023-0000729,SYNLCPLD023-0000731,,,Yes,,,,,,,,,
SYNLCPLD023-0000733,SYNLCPLD023-0000733,SYNLCPLD023-0000733,,,Yes,Yes,,,,,,,,
SYNLCPLD023-0000737,SYNLCPLD023-0000737,SYNLCPLD023-0000738,,,Yes,,Yes,,,,,,,
SYNLCPLD023-0000741,SYNLCPLD023-0000741,SYNLCPLD023-0000743,,,Yes,,,Yes,,,,,,
SYNLCPLD023-0000745,SYNLCPLD023-0000745,SYNLCPLD023-0000745,,,Yes,,,,Yes,,,,,
SYNLCPLD023-0000749,SYNLCPLD023-0000749,SYNLCPLD023-0000750,,,Yes,,,,,Yes,,,,
SYNLCPLD023-0000753,SYNLCPLD023-0000753,SYNLCPLD023-0000755,,,Yes,,,,,,Yes,,,
SYNLCPLD023-0000757,SYNLCPLD023-0000757,SYNLCPLD023-0000757,,,,Yes,,,,,,Yes,,
SYNLCPLD023-0000761,SYNLCPLD023-0000761,SYNLCPLD023-0000762,,,,Yes,,,,,,,Yes,
SYNLCPLD023-0000765,SYNLCPLD023-0000765,SYNLCPLD023-0000767,,,,Yes,,,,,,,,Yes
SYNLCPLD023-0000769,SYNLCPLD023-0000769,SYNLCPLD023-0000769,Yes,,,Yes,,,,,,,,
SYNLCPLD023-0000773,SYNLCPLD023-0000773,SYNLCPLD023-0000774,,Yes,,Yes,,,,,,,,
SYNLCPLD023-0000777,SYNLCPLD023-0000777,SYNLCPLD023-0000779,,,Yes,Yes,,,,,,,,
SYNLCPLD023-0000781,SYNLCPLD023-0000781,SYNLCPLD023-0000781,,,,Yes,,,,,,,,
SYNLCPLD023-0000785,SYNLCPLD023-0000785,SYNLCPLD023-0000786,,,,,Yes,,,,,,,
SYNLCPLD023-0000789,SYNLCPLD023-0000789,SYNLCPLD023-0000791,,,,,Yes,Yes,,,,,,
SYNLCPLD023-0000793,SYNLCPLD023-0000793,SYNLCPLD023-0000793,,,,,Yes,,Yes,,,,,
SYNLCPLD023-0000797,SYNLCPLD023-0000797,SYNLCPLD023-0000798,,,,,Yes,,,Yes,,,,
SYNLCPLD023-0000801,SYNLCPLD023-0000801,SYNLCPLD023-0000803,,,,,Yes,,,,Yes,,,
SYNLCPLD023-0000805,SYNLCPLD023-0000805,SYNLCPLD023-0000805,,,,,Yes,,,,,Yes,,
SYNLCPLD023-0000809,SYNLCPLD023-0000809,SYNLCPLD023-0000810,,,,,Yes,,,,,,Yes,
SYNLCPLD023-0000813,SYNLCPLD023-0000813,SYNLCPLD023-0000815,,,,,,Yes,,,,,,Yes
SYNLCPLD023-0000817,SYNLCPLD023-0000817,SYNLCPLD023-0000817,Yes,,,,,Yes,,,,,,
SYNLCPLD023-0000821,SYNLCPLD023-0000821,SYNLCPLD023-0000822,,Yes,,,,Yes,,,,,,
SYNLCPLD023-0000825,SYNLCPLD023-0000825,SYNLCPLD023-0000827,,,Yes,,,Yes,,,,,,
SYNLCPLD023-0000829,SYNLCPLD023-0000829,SYNLCPLD023-0000829,,,,Yes,,Yes,,,,,,
SYNLCPLD023-0000833,SYNLCPLD023-0000833,SYNLCPLD023-0000834,,,,,Yes,Yes,,,,,,
SYNLCPLD023-0000837,SYNLCPLD023-0000837,SYNLCPLD023-0000839,,,,,,Yes,,,,,,
SYNLCPLD023-0000841,SYNLCPLD023-0000841,SYNLCPLD023-0000841,,,,,,,Yes,,,,,
SYNLCPLD023-0000845,SYNLCPLD023-0000845,SYNLCPLD023-0000846,,,,,,,Yes,Yes,,,,
SYNLCPLD023-0000849,SYNLCPLD023-0000849,SYNLCPLD023-0000851,,,,,,,Yes,,Yes,,,
SYNLCPLD023-0000853,SYNLCPLD023-0000853,SYNLCPLD023-0000853,,,,,,,Yes,,,Yes,,
SYNLCPLD023-0000857,SYNLCPLD023-0000857,SYNLCPLD023-0000858,,,,,,,Yes,,,,Yes,
SYNLCPLD023-0000861,SYNLCPLD023-0000861,SYNLCPLD023-0000863,,,,,,,Yes,,,,,Yes
SYNLCPLD023-0000865,SYNLCPLD023-0000865,SYNLCPLD023-0000865,Yes,,,,,,Yes,,,,,
SYNLCPLD023-0000869,SYNLCPLD023-0000869,SYNLCPLD023-0000870,,Yes,,,,,,Yes,,,,
SYNLCPLD023-0000873,SYNLCPLD023-0000873,SYNLCPLD023-0000875,,,Yes,,,,,Yes,,,,
SYNLCPLD023-0000877,SYNLCPLD023-0000877,SYNLCPLD023-0000877,,,,Yes,,,,Yes,,,,
SYNLCPLD023-0000881,SYNLCPLD023-0000881,SYNLCPLD023-0000882,,,,,Yes,,,Yes,,,,
SYNLCPLD023-0000885,SYNLCPLD023-0000885,SYNLCPLD023-0000887,,,,,,Yes,,Yes,,,,
SYNLCPLD023-0000889,SYNLCPLD023-0000889,SYNLCPLD023-0000889,,,,,,,Yes,Yes,,,,
SYNLCPLD023-0000893,SYNLCPLD023-0000893,SYNLCPLD023-0000894,,,,,,,,Yes,,,,
SYNLCPLD023-0000897,SYNLCPLD023-0000897,SYNLCPLD023-0000899,,,,,,,,,Yes,,,
SYNLCPLD023-0000901,SYNLCPLD023-0000901,SYNLCPLD023-0000901,,,,,,,,,Yes,Yes,,
SYNLCPLD023-0000905,SYNLCPLD023-0000905,SYNLCPLD023-0000906,,,,,,,,,Yes,,Yes,
SYNLCPLD023-0000909,SYNLCPLD023-0000909,SYNLCPLD023-0000911,,,,,,,,,Yes,,,Yes
SYNLCPLD023-0000913,SYNLCPLD023-0000913,SYNLCPLD023-0000913,Yes,,,,,,,,Yes,,,
SYNLCPLD023-0000917,SYNLCPLD023-0000917,SYNLCPLD023-0000918,,Yes,,,,,,,Yes,,,
