Bates/Control #,End Bates/Control #,RFP: RFP 1,RFP: RFP 2,RFP: RFP 3,RFP: RFP 4,RFP: RFP 5,RFP: RFP 6,RFP: RFP 7,RFP: RFP 8,RFP: RFP 9,RFP: RFP 10,RFP: RFP 11,RFP: RFP 12
SYNLCPLD024-0000105,SYNLCPLD024-0000107,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0000109,SYNLCPLD024-0000109,,,,Yes,,,,,,,,
SYNLCPLD024-0000113,SYNLCPLD024-0000114,,,,,Yes,,,,,,,
SYNLCPLD024-0000117,SYNLCPLD024-0000119,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0000121,SYNLCPLD024-0000121,,,,,Yes,,Yes,,,,,
SYNLCPLD024-0000125,SYNLCPLD024-0000126,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0000129,SYNLCPLD024-0000131,,,,,Yes,,,,Yes,,,
SYNLCPLD024-0000133,SYNLCPLD024-0000133,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0000137,SYNLCPLD024-0000138,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0000141,SYNLCPLD024-0000143,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0000145,SYNLCPLD024-0000145,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0000149,SYNLCPLD024-0000150,,Yes,,,,Yes,,,,,,
SYNLCPLD024-0000153,SYNLCPLD024-0000155,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0000157,SYNLCPLD024-0000157,,,,Yes,,Yes,,,,,,
SYNLCPLD024-0000161,SYNLCPLD024-0000162,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0000165,SYNLCPLD024-0000167,,,,,,Yes,,,,,,
SYNLCPLD024-0000169,SYNLCPLD024-0000169,,,,,,,Yes,,,,,
SYNLCPLD024-0000173,SYNLCPLD024-0000174,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0000177,SYNLCPLD024-0000179,,,,,,,Yes,,Yes,,,
SYNLCPLD024-0000181,SYNLCPLD024-0000181,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0000185,SYNLCPLD024-0000186,,,,,,,Yes,,,,Yes,
SYNLCPLD024-0000189,SYNLCPLD024-0000191,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0000193,SYNLCPLD024-0000193,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0000197,SYNLCPLD024-0000198,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0000201,SYNLCPLD024-0000203,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0000205,SYNLCPLD024-0000205,,,,Yes,,,,Yes,,,,
SYNLCPLD024-0000209,SYNLCPLD024-0000210,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0000213,SYNLCPLD024-0000215,,,,,,Yes,,Yes,,,,
SYNLCPLD024-0000217,SYNLCPLD024-0000217,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0000221,SYNLCPLD024-0000222,,,,,,,,Yes,,,,
SYNLCPLD024-0000225,SYNLCPLD024-0000227,,,,,,,,,Yes,,,
SYNLCPLD024-0000229,SYNLCPLD024-0000229,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0000233,SYNLCPLD024-0000234,,,,,,,,,Yes,,Yes,
SYNLCPLD024-0000237,SYNLCPLD024-0000239,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0000241,SYNLCPLD024-0000241,Yes,,,,,,,,Yes,,,
SYNLCPLD024-0000245,SYNLCPLD024-0000246,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0000249,SYNLCPLD024-0000251,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0000253,SYNLCPLD024-0000253,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0000257,SYNLCPLD024-0000258,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0000261,SYNLCPLD024-0000263,,,,,,Yes,,,,Yes,,
SYNLCPLD024-0000265,SYNLCPLD024-0000265,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0000269,SYNLCPLD024-0000270,,,,,,,,Yes,,Yes,,
SYNLCPLD024-0000273,SYNLCPLD024-0000275,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0000277,SYNLCPLD024-0000277,,,,,,,,,,Yes,,
SYNLCPLD024-0000281,SYNLCPLD024-0000282,,,,,,,,,,,Yes,
SYNLCPLD024-0000285,SYNLCPLD024-0000287,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0000289,SYNLCPLD024-0000289,Yes,,,,,,,,,,Yes,
SYNLCPLD024-0000293,SYNLCPLD024-0000294,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0000297,SYNLCPLD024-0000299,,,Yes,,,,,,,,Yes,
SYNLCPLD024-0000301,SYNLCPLD024-0000301,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0000305,SYNLCPLD024-0000306,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0000309,SYNLCPLD024-0000311,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0000313,SYNLCPLD024-0000313,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0000317,SYNLCPLD024-0000318,,,,,,,,Yes,,,,Yes
SYNLCPLD024-0000321,SYNLCPLD024-0000323,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0000325,SYNLCPLD024-0000325,,,,,,,,,,Yes,,Yes
SYNLCPLD024-0000329,SYNLCPLD024-0000330,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0000333,SYNLCPLD024-0000335,,,,,,,,,,,,Yes
SYNLCPLD024-0000337,SYNLCPLD024-0000337,Yes,,,,,,,,,,,
SYNLCPLD024-0000341,SYNLCPLD024-0000342,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0000345,SYNLCPLD024-0000347,Yes,,Yes,,,,,,,,,
SYNLCPLD024-0000349,SYNLCPLD024-0000349,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0000353,SYNLCPLD024-0000354,Yes,,,,Yes,,,,,,,
SYNLCPLD024-0000357,SYNLCPLD024-0000359,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0000361,SYNLCPLD024-0000361,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0000365,SYNLCPLD024-0000366,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0000369,SYNLCPLD024-0000371,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0000373,SYNLCPLD024-0000373,,Yes,,,,,,,,Yes,,
SYNLCPLD024-0000377,SYNLCPLD024-0000378,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0000381,SYNLCPLD024-0000383,,Yes,,,,,,,,,,Yes
SYNLCPLD024-0000385,SYNLCPLD024-0000385,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0000389,SYNLCPLD024-0000390,,Yes,,,,,,,,,,
SYNLCPLD024-0000393,SYNLCPLD024-0000395,,,Yes,,,,,,,,,
SYNLCPLD024-0000397,SYNLCPLD024-0000397,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0000401,SYNLCPLD024-0000402,,,Yes,,Yes,,,,,,,
SYNLCPLD024-0000405,SYNLCPLD024-0000407,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0000409,SYNLCPLD024-0000409,,,Yes,,,,Yes,,,,,
SYNLCPLD024-0000413,SYNLCPLD024-0000414,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0000417,SYNLCPLD024-0000419,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0000421,SYNLCPLD024-0000421,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0000425,SYNLCPLD024-0000426,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0000429,SYNLCPLD024-0000431,,,,Yes,,,,,,,,Yes
SYNLCPLD024-0000433,SYNLCPLD024-0000433,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0000437,SYNLCPLD024-0000438,,Yes,,Yes,,,,,,,,
SYNLCPLD024-0000441,SYNLCPLD024-0000443,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0000445,SYNLCPLD024-0000445,,,,Yes,,,,,,,,
SYNLCPLD024-0000449,SYNLCPLD024-0000450,,,,,Yes,,,,,,,
SYNLCPLD024-0000453,SYNLCPLD024-0000455,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0000457,SYNLCPLD024-0000457,,,,,Yes,,Yes,,,,,
SYNLCPLD024-0000461,SYNLCPLD024-0000462,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0000465,SYNLCPLD024-0000467,,,,,Yes,,,,Yes,,,
SYNLCPLD024-0000469,SYNLCPLD024-0000469,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0000473,SYNLCPLD024-0000474,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0000477,SYNLCPLD024-0000479,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0000481,SYNLCPLD024-0000481,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0000485,SYNLCPLD024-0000486,,Yes,,,,Yes,,,,,,
SYNLCPLD024-0000489,SYNLCPLD024-0000491,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0000493,SYNLCPLD024-0000493,,,,Yes,,Yes,,,,,,
SYNLCPLD024-0000497,SYNLCPLD024-0000498,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0000501,SYNLCPLD024-0000503,,,,,,Yes,,,,,,
SYNLCPLD024-0000505,SYNLCPLD024-0000505,,,,,,,Yes,,,,,
SYNLCPLD024-0000509,SYNLCPLD024-0000510,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0000513,SYNLCPLD024-0000515,,,,,,,Yes,,Yes,,,
SYNLCPLD024-0000517,SYNLCPLD024-0000517,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0000521,SYNLCPLD024-0000522,,,,,,,Yes,,,,Yes,
SYNLCPLD024-0000525,SYNLCPLD024-0000527,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0000529,SYNLCPLD024-0000529,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0000533,SYNLCPLD024-0000534,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0000537,SYNLCPLD024-0000539,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0000541,SYNLCPLD024-0000541,,,,Yes,,,,Yes,,,,
SYNLCPLD024-0000545,SYNLCPLD024-0000546,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0000549,SYNLCPLD024-0000551,,,,,,Yes,,Yes,,,,
SYNLCPLD024-0000553,SYNLCPLD024-0000553,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0000557,SYNLCPLD024-0000558,,,,,,,,Yes,,,,
SYNLCPLD024-0000561,SYNLCPLD024-0000563,,,,,,,,,Yes,,,
SYNLCPLD024-0000565,SYNLCPLD024-0000565,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0000569,SYNLCPLD024-0000570,,,,,,,,,Yes,,Yes,
SYNLCPLD024-0000573,SYNLCPLD024-0000575,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0000577,SYNLCPLD024-0000577,Yes,,,,,,,,Yes,,,
SYNLCPLD024-0000581,SYNLCPLD024-0000582,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0000585,SYNLCPLD024-0000587,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0000589,SYNLCPLD024-0000589,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0000593,SYNLCPLD024-0000594,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0000597,SYNLCPLD024-0000599,,,,,,Yes,,,,Yes,,
SYNLCPLD024-0000601,SYNLCPLD024-0000601,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0000605,SYNLCPLD024-0000606,,,,,,,,Yes,,Yes,,
SYNLCPLD024-0000609,SYNLCPLD024-0000611,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0000613,SYNLCPLD024-0000613,,,,,,,,,,Yes,,
SYNLCPLD024-0000617,SYNLCPLD024-0000618,,,,,,,,,,,Yes,
SYNLCPLD024-0000621,SYNLCPLD024-0000623,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0000625,SYNLCPLD024-0000625,Yes,,,,,,,,,,Yes,
SYNLCPLD024-0000629,SYNLCPLD024-0000630,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0000633,SYNLCPLD024-0000635,,,Yes,,,,,,,,Yes,
SYNLCPLD024-0000637,SYNLCPLD024-0000637,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0000641,SYNLCPLD024-0000642,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0000645,SYNLCPLD024-0000647,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0000649,SYNLCPLD024-0000649,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0000653,SYNLCPLD024-0000654,,,,,,,,Yes,,,,Yes
SYNLCPLD024-0000657,SYNLCPLD024-0000659,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0000661,SYNLCPLD024-0000661,,,,,,,,,,Yes,,Yes
SYNLCPLD024-0000665,SYNLCPLD024-0000666,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0000669,SYNLCPLD024-0000671,,,,,,,,,,,,Yes
SYNLCPLD024-0000673,SYNLCPLD024-0000673,Yes,,,,,,,,,,,
SYNLCPLD024-0000677,SYNLCPLD024-0000678,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0000681,SYNLCPLD024-0000683,Yes,,Yes,,,,,,,,,
SYNLCPLD024-0000685,SYNLCPLD024-0000685,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0000689,SYNLCPLD024-0000690,Yes,,,,Yes,,,,,,,
SYNLCPLD024-0000693,SYNLCPLD024-0000695,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0000697,SYNLCPLD024-0000697,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0000701,SYNLCPLD024-0000702,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0000705,SYNLCPLD024-0000707,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0000709,SYNLCPLD024-0000709,,Yes,,,,,,,,Yes,,
SYNLCPLD024-0000713,SYNLCPLD024-0000714,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0000717,SYNLCPLD024-0000719,,Yes,,,,,,,,,,Yes
SYNLCPLD024-0000721,SYNLCPLD024-0000721,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0000725,SYNLCPLD024-0000726,,Yes,,,,,,,,,,
SYNLCPLD024-0000729,SYNLCPLD024-0000731,,,Yes,,,,,,,,,
SYNLCPLD024-0000733,SYNLCPLD024-0000733,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0000737,SYNLCPLD024-0000738,,,Yes,,Yes,,,,,,,
SYNLCPLD024-0000741,SYNLCPLD024-0000743,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0000745,SYNLCPLD024-0000745,,,Yes,,,,Yes,,,,,
SYNLCPLD024-0000749,SYNLCPLD024-0000750,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0000753,SYNLCPLD024-0000755,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0000757,SYNLCPLD024-0000757,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0000761,SYNLCPLD024-0000762,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0000765,SYNLCPLD024-0000767,,,,Yes,,,,,,,,Yes
SYNLCPLD024-0000769,SYNLCPLD024-0000769,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0000773,SYNLCPLD024-0000774,,Yes,,Yes,,,,,,,,
SYNLCPLD024-0000777,SYNLCPLD024-0000779,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0000781,SYNLCPLD024-0000781,,,,Yes,,,,,,,,
SYNLCPLD024-0000785,SYNLCPLD024-0000786,,,,,Yes,,,,,,,
SYNLCPLD024-0000789,SYNLCPLD024-0000791,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0000793,SYNLCPLD024-0000793,,,,,Yes,,Yes,,,,,
SYNLCPLD024-0000797,SYNLCPLD024-0000798,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0000801,SYNLCPLD024-0000803,,,,,Yes,,,,Yes,,,
SYNLCPLD024-0000805,SYNLCPLD024-0000805,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0000809,SYNLCPLD024-0000810,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0000813,SYNLCPLD024-0000815,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0000817,SYNLCPLD024-0000817,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0000821,SYNLCPLD024-0000822,,Yes,,,,Yes,,,,,,
SYNLCPLD024-0000825,SYNLCPLD024-0000827,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0000829,SYNLCPLD024-0000829,,,,Yes,,Yes,,,,,,
SYNLCPLD024-0000833,SYNLCPLD024-0000834,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0000837,SYNLCPLD024-0000839,,,,,,Yes,,,,,,
SYNLCPLD024-0000841,SYNLCPLD024-0000841,,,,,,,Yes,,,,,
SYNLCPLD024-0000845,SYNLCPLD024-0000846,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0000849,SYNLCPLD024-0000851,,,,,,,Yes,,Yes,,,
SYNLCPLD024-0000853,SYNLCPLD024-0000853,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0000857,SYNLCPLD024-0000858,,,,,,,Yes,,,,Yes,
SYNLCPLD024-0000861,SYNLCPLD024-0000863,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0000865,SYNLCPLD024-0000865,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0000869,SYNLCPLD024-0000870,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0000873,SYNLCPLD024-0000875,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0000877,SYNLCPLD024-0000877,,,,Yes,,,,Yes,,,,
SYNLCPLD024-0000881,SYNLCPLD024-0000882,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0000885,SYNLCPLD024-0000887,,,,,,Yes,,Yes,,,,
SYNLCPLD024-0000889,SYNLCPLD024-0000889,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0000893,SYNLCPLD024-0000894,,,,,,,,Yes,,,,
SYNLCPLD024-0000897,SYNLCPLD024-0000899,,,,,,,,,Yes,,,
SYNLCPLD024-0000901,SYNLCPLD024-0000901,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0000905,SYNLCPLD024-0000906,,,,,,,,,Yes,,Yes,
SYNLCPLD024-0000909,SYNLCPLD024-0000911,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0000913,SYNLCPLD024-0000913,Yes,,,,,,,,Yes,,,
SYNLCPLD024-0000917,SYNLCPLD024-0000918,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0000921,SYNLCPLD024-0000923,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0000925,SYNLCPLD024-0000925,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0000929,SYNLCPLD024-0000930,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0000933,SYNLCPLD024-0000935,,,,,,Yes,,,,Yes,,
SYNLCPLD024-0000937,SYNLCPLD024-0000937,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0000941,SYNLCPLD024-0000942,,,,,,,,Yes,,Yes,,
SYNLCPLD024-0000945,SYNLCPLD024-0000947,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0000949,SYNLCPLD024-0000949,,,,,,,,,,Yes,,
SYNLCPLD024-0000953,SYNLCPLD024-0000954,,,,,,,,,,,Yes,
SYNLCPLD024-0000957,SYNLCPLD024-0000959,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0000961,SYNLCPLD024-0000961,Yes,,,,,,,,,,Yes,
SYNLCPLD024-0000965,SYNLCPLD024-0000966,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0000969,SYNLCPLD024-0000971,,,Yes,,,,,,,,Yes,
SYNLCPLD024-0000973,SYNLCPLD024-0000973,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0000977,SYNLCPLD024-0000978,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0000981,SYNLCPLD024-0000983,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0000985,SYNLCPLD024-0000985,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0000989,SYNLCPLD024-0000990,,,,,,,,Yes,,,,Yes
SYNLCPLD024-0000993,SYNLCPLD024-0000995,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0000997,SYNLCPLD024-0000997,,,,,,,,,,Yes,,Yes
SYNLCPLD024-0001001,SYNLCPLD024-0001002,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0001005,SYNLCPLD024-0001007,,,,,,,,,,,,Yes
SYNLCPLD024-0001009,SYNLCPLD024-0001009,Yes,,,,,,,,,,,
SYNLCPLD024-0001013,SYNLCPLD024-0001014,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0001017,SYNLCPLD024-0001019,Yes,,Yes,,,,,,,,,
SYNLCPLD024-0001021,SYNLCPLD024-0001021,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0001025,SYNLCPLD024-0001026,Yes,,,,Yes,,,,,,,
SYNLCPLD024-0001029,SYNLCPLD024-0001031,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0001033,SYNLCPLD024-0001033,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0001037,SYNLCPLD024-0001038,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0001041,SYNLCPLD024-0001043,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0001045,SYNLCPLD024-0001045,,Yes,,,,,,,,Yes,,
SYNLCPLD024-0001049,SYNLCPLD024-0001050,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0001053,SYNLCPLD024-0001055,,Yes,,,,,,,,,,Yes
SYNLCPLD024-0001057,SYNLCPLD024-0001057,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0001061,SYNLCPLD024-0001062,,Yes,,,,,,,,,,
SYNLCPLD024-0001065,SYNLCPLD024-0001067,,,Yes,,,,,,,,,
SYNLCPLD024-0001069,SYNLCPLD024-0001069,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0001073,SYNLCPLD024-0001074,,,Yes,,Yes,,,,,,,
SYNLCPLD024-0001077,SYNLCPLD024-0001079,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0001081,SYNLCPLD024-0001081,,,Yes,,,,Yes,,,,,
SYNLCPLD024-0001085,SYNLCPLD024-0001086,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0001089,SYNLCPLD024-0001091,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0001093,SYNLCPLD024-0001093,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0001097,SYNLCPLD024-0001098,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0001101,SYNLCPLD024-0001103,,,,Yes,,,,,,,,Yes
SYNLCPLD024-0001105,SYNLCPLD024-0001105,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0001109,SYNLCPLD024-0001110,,Yes,,Yes,,,,,,,,
SYNLCPLD024-0001113,SYNLCPLD024-0001115,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0001117,SYNLCPLD024-0001117,,,,Yes,,,,,,,,
SYNLCPLD024-0001121,SYNLCPLD024-0001122,,,,,Yes,,,,,,,
SYNLCPLD024-0001125,SYNLCPLD024-0001127,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0001129,SYNLCPLD024-0001129,,,,,Yes,,Yes,,,,,
SYNLCPLD024-0001133,SYNLCPLD024-0001134,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0001137,SYNLCPLD024-0001139,,,,,Yes,,,,Yes,,,
SYNLCPLD024-0001141,SYNLCPLD024-0001141,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0001145,SYNLCPLD024-0001146,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0001149,SYNLCPLD024-0001151,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0001153,SYNLCPLD024-0001153,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0001157,SYNLCPLD024-0001158,,Yes,,,,Yes,,,,,,
SYNLCPLD024-0001161,SYNLCPLD024-0001163,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0001165,SYNLCPLD024-0001165,,,,Yes,,Yes,,,,,,
SYNLCPLD024-0001169,SYNLCPLD024-0001170,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0001173,SYNLCPLD024-0001175,,,,,,Yes,,,,,,
SYNLCPLD024-0001177,SYNLCPLD024-0001177,,,,,,,Yes,,,,,
SYNLCPLD024-0001181,SYNLCPLD024-0001182,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0001185,SYNLCPLD024-0001187,,,,,,,Yes,,Yes,,,
SYNLCPLD024-0001189,SYNLCPLD024-0001189,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0001193,SYNLCPLD024-0001194,,,,,,,Yes,,,,Yes,
SYNLCPLD024-0001197,SYNLCPLD024-0001199,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0001201,SYNLCPLD024-0001201,Yes,,,,,,Yes,,,,,
