Begin Bates num from SYNTHETIC_PROD_001,End Bates num from SYNTHETIC_PROD_001,Tag: RFP 01 - Synthetic request category 01,Tag: RFP 02 - Synthetic request category 02,Tag: RFP 03 - Synthetic request category 03,Tag: RFP 04 - Synthetic request category 04,Tag: RFP 05 - Synthetic request category 05,Tag: RFP 06 - Synthetic request category 06,Tag: RFP 07 - Synthetic request category 07,Tag: RFP 08 - Synthetic request category 08,Tag: RFP 09 - Synthetic request category 09,Tag: RFP 10 - Synthetic request category 10,Tag: RFP 11 - Synthetic request category 11,Tag: RFP 12 - Synthetic request category 12
NOT-A-BATES,SYNEWPLD022-0000061,,,Yes,Yes,,,,,,,,
SYNEWPLD022-0000066,SYNEWPLD022-0000065,,,Yes,,Yes,,,,,,,
SYNEWPLD022-0000069,SYNMISMATCH9999999,,,Yes,,,Yes,,,,,,
SYNEWPLD022-0000073,SYNEWPLD022-0000073,,,Yes,,,,Yes,,,,,
SYNEWPLD022-0000077,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,Yes,,,,,Yes,,,,
NOT-A-BATES,SYNEWPLD022-0000083,,,Yes,,,,,,Yes,,,
SYNEWPLD022-0000085,SYNEWPLD022-0000085,,,,Yes,,,,,,Yes,,
SYNEWPLD022-0000089,SYNMISMATCH9999999,,,,Yes,,,,,,,Yes,
SYNEWPLD022-0000093,SYNEWPLD022-0000095,,,,Yes,,,,,,,,Yes
SYNEWPLD022-0000097,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,Yes,,,Yes,,,,,,,,
NOT-A-BATES,SYNEWPLD022-0000102,,Yes,,Yes,,,,,,,,
SYNEWPLD022-0000107,SYNEWPLD022-0000105,,,Yes,Yes,,,,,,,,
SYNEWPLD022-0000109,SYNMISMATCH9999999,,,,Yes,,,,,,,,
SYNEWPLD022-0000113,SYNEWPLD022-0000114,,,,,Yes,,,,,,,
SYNEWPLD022-0000117,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,Yes,Yes,,,,,,
NOT-A-BATES,SYNEWPLD022-0000121,,,,,Yes,,Yes,,,,,
SYNEWPLD022-0000126,SYNEWPLD022-0000125,,,,,Yes,,,Yes,,,,
SYNEWPLD022-0000129,SYNMISMATCH9999999,,,,,Yes,,,,Yes,,,
SYNEWPLD022-0000133,SYNEWPLD022-0000133,,,,,Yes,,,,,Yes,,
SYNEWPLD022-0000137,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,Yes,,,,,,Yes,
NOT-A-BATES,SYNEWPLD022-0000143,,,,,,Yes,,,,,,Yes
SYNEWPLD022-0000145,SYNEWPLD022-0000145,Yes,,,,,Yes,,,,,,
SYNEWPLD022-0000149,SYNMISMATCH9999999,,Yes,,,,Yes,,,,,,
SYNEWPLD022-0000153,SYNEWPLD022-0000155,,,Yes,,,Yes,,,,,,
SYNEWPLD022-0000157,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,Yes,,Yes,,,,,,
NOT-A-BATES,SYNEWPLD022-0000162,,,,,Yes,Yes,,,,,,
SYNEWPLD022-0000167,SYNEWPLD022-0000165,,,,,,Yes,,,,,,
SYNEWPLD022-0000169,SYNMISMATCH9999999,,,,,,,Yes,,,,,
SYNEWPLD022-0000173,SYNEWPLD022-0000174,,,,,,,Yes,Yes,,,,
SYNEWPLD022-0000177,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,,,Yes,,Yes,,,
NOT-A-BATES,SYNEWPLD022-0000181,,,,,,,Yes,,,Yes,,
SYNEWPLD022-0000186,SYNEWPLD022-0000185,,,,,,,Yes,,,,Yes,
SYNEWPLD022-0000189,SYNMISMATCH9999999,,,,,,,Yes,,,,,Yes
SYNEWPLD022-0000193,SYNEWPLD022-0000193,Yes,,,,,,Yes,,,,,
SYNEWPLD022-0000197,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,Yes,,,,,,Yes,,,,
NOT-A-BATES,SYNEWPLD022-0000203,,,Yes,,,,,Yes,,,,
SYNEWPLD022-0000205,SYNEWPLD022-0000205,,,,Yes,,,,Yes,,,,
SYNEWPLD022-0000209,SYNMISMATCH9999999,,,,,Yes,,,Yes,,,,
SYNEWPLD022-0000213,SYNEWPLD022-0000215,,,,,,Yes,,Yes,,,,
SYNEWPLD022-0000217,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,,,Yes,Yes,,,,
NOT-A-BATES,SYNEWPLD022-0000222,,,,,,,,Yes,,,,
SYNEWPLD022-0000227,SYNEWPLD022-0000225,,,,,,,,,Yes,,,
SYNEWPLD022-0000229,SYNMISMATCH9999999,,,,,,,,,Yes,Yes,,
SYNEWPLD022-0000233,SYNEWPLD022-0000234,,,,,,,,,Yes,,Yes,
SYNEWPLD022-0000237,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,,,,,Yes,,,Yes
NOT-A-BATES,SYNEWPLD022-0000241,Yes,,,,,,,,Yes,,,
SYNEWPLD022-0000246,SYNEWPLD022-0000245,,Yes,,,,,,,Yes,,,
SYNEWPLD022-0000249,SYNMISMATCH9999999,,,Yes,,,,,,Yes,,,
SYNEWPLD022-0000253,SYNEWPLD022-0000253,,,,Yes,,,,,,Yes,,
SYNEWPLD022-0000257,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,Yes,,,,,Yes,,
NOT-A-BATES,SYNEWPLD022-0000263,,,,,,Yes,,,,Yes,,
SYNEWPLD022-0000265,SYNEWPLD022-0000265,,,,,,,Yes,,,Yes,,
SYNEWPLD022-0000269,SYNMISMATCH9999999,,,,,,,,Yes,,Yes,,
SYNEWPLD022-0000273,SYNEWPLD022-0000275,,,,,,,,,Yes,Yes,,
SYNEWPLD022-0000277,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,,,,,,Yes,,
NOT-A-BATES,SYNEWPLD022-0000282,,,,,,,,,,,Yes,
SYNEWPLD022-0000287,SYNEWPLD022-0000285,,,,,,,,,,,Yes,Yes
SYNEWPLD022-0000289,SYNMISMATCH9999999,Yes,,,,,,,,,,Yes,
SYNEWPLD022-0000293,SYNEWPLD022-0000294,,Yes,,,,,,,,,Yes,
SYNEWPLD022-0000297,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,Yes,,,,,,,,Yes,
NOT-A-BATES,SYNEWPLD022-0000301,,,,Yes,,,,,,,Yes,
SYNEWPLD022-0000306,SYNEWPLD022-0000305,,,,,Yes,,,,,,Yes,
SYNEWPLD022-0000309,SYNMISMATCH9999999,,,,,,Yes,,,,,,Yes
SYNEWPLD022-0000313,SYNEWPLD022-0000313,,,,,,,Yes,,,,,Yes
SYNEWPLD022-0000317,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,,,,Yes,,,,Yes
NOT-A-BATES,SYNEWPLD022-0000323,,,,,,,,,Yes,,,Yes
SYNEWPLD022-0000325,SYNEWPLD022-0000325,,,,,,,,,,Yes,,Yes
SYNEWPLD022-0000329,SYNMISMATCH9999999,,,,,,,,,,,Yes,Yes
SYNEWPLD022-0000333,SYNEWPLD022-0000335,,,,,,,,,,,,Yes
SYNEWPLD022-0000337,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,Yes,,,,,,,,,,,
NOT-A-BATES,SYNEWPLD022-0000342,Yes,Yes,,,,,,,,,,
SYNEWPLD022-0000347,SYNEWPLD022-0000345,Yes,,Yes,,,,,,,,,
SYNEWPLD022-0000349,SYNMISMATCH9999999,Yes,,,Yes,,,,,,,,
SYNEWPLD022-0000353,SYNEWPLD022-0000354,Yes,,,,Yes,,,,,,,
SYNEWPLD022-0000357,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,Yes,,,,,Yes,,,,,,
NOT-A-BATES,SYNEWPLD022-0000361,Yes,,,,,,Yes,,,,,
SYNEWPLD022-0000366,SYNEWPLD022-0000365,,Yes,,,,,,Yes,,,,
SYNEWPLD022-0000369,SYNMISMATCH9999999,,Yes,,,,,,,Yes,,,
SYNEWPLD022-0000373,SYNEWPLD022-0000373,,Yes,,,,,,,,Yes,,
SYNEWPLD022-0000377,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,Yes,,,,,,,,,Yes,
NOT-A-BATES,SYNEWPLD022-0000383,,Yes,,,,,,,,,,Yes
SYNEWPLD022-0000385,SYNEWPLD022-0000385,Yes,Yes,,,,,,,,,,
SYNEWPLD022-0000389,SYNMISMATCH9999999,,Yes,,,,,,,,,,
SYNEWPLD022-0000393,SYNEWPLD022-0000395,,,Yes,,,,,,,,,
SYNEWPLD022-0000397,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,Yes,Yes,,,,,,,,
NOT-A-BATES,SYNEWPLD022-0000402,,,Yes,,Yes,,,,,,,
SYNEWPLD022-0000407,SYNEWPLD022-0000405,,,Yes,,,Yes,,,,,,
SYNEWPLD022-0000409,SYNMISMATCH9999999,,,Yes,,,,Yes,,,,,
SYNEWPLD022-0000413,SYNEWPLD022-0000414,,,Yes,,,,,Yes,,,,
SYNEWPLD022-0000417,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,Yes,,,,,,Yes,,,
NOT-A-BATES,SYNEWPLD022-0000421,,,,Yes,,,,,,Yes,,
SYNEWPLD022-0000426,SYNEWPLD022-0000425,,,,Yes,,,,,,,Yes,
SYNEWPLD022-0000429,SYNMISMATCH9999999,,,,Yes,,,,,,,,Yes
SYNEWPLD022-0000433,SYNEWPLD022-0000433,Yes,,,Yes,,,,,,,,
SYNEWPLD022-0000437,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,Yes,,Yes,,,,,,,,
NOT-A-BATES,SYNEWPLD022-0000443,,,Yes,Yes,,,,,,,,
SYNEWPLD022-0000445,SYNEWPLD022-0000445,,,,Yes,,,,,,,,
SYNEWPLD022-0000449,SYNMISMATCH9999999,,,,,Yes,,,,,,,
SYNEWPLD022-0000453,SYNEWPLD022-0000455,,,,,Yes,Yes,,,,,,
SYNEWPLD022-0000457,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,Yes,,Yes,,,,,
NOT-A-BATES,SYNEWPLD022-0000462,,,,,Yes,,,Yes,,,,
SYNEWPLD022-0000467,SYNEWPLD022-0000465,,,,,Yes,,,,Yes,,,
SYNEWPLD022-0000469,SYNMISMATCH9999999,,,,,Yes,,,,,Yes,,
SYNEWPLD022-0000473,SYNEWPLD022-0000474,,,,,Yes,,,,,,Yes,
SYNEWPLD022-0000477,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,,Yes,,,,,,Yes
NOT-A-BATES,SYNEWPLD022-0000481,Yes,,,,,Yes,,,,,,
SYNEWPLD022-0000486,SYNEWPLD022-0000485,,Yes,,,,Yes,,,,,,
SYNEWPLD022-0000489,SYNMISMATCH9999999,,,Yes,,,Yes,,,,,,
SYNEWPLD022-0000493,SYNEWPLD022-0000493,,,,Yes,,Yes,,,,,,
SYNEWPLD022-0000497,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,Yes,Yes,,,,,,
NOT-A-BATES,SYNEWPLD022-0000503,,,,,,Yes,,,,,,
SYNEWPLD022-0000505,SYNEWPLD022-0000505,,,,,,,Yes,,,,,
SYNEWPLD022-0000509,SYNMISMATCH9999999,,,,,,,Yes,Yes,,,,
SYNEWPLD022-0000513,SYNEWPLD022-0000515,,,,,,,Yes,,Yes,,,
SYNEWPLD022-0000517,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,,,Yes,,,Yes,,
NOT-A-BATES,SYNEWPLD022-0000522,,,,,,,Yes,,,,Yes,
SYNEWPLD022-0000527,SYNEWPLD022-0000525,,,,,,,Yes,,,,,Yes
SYNEWPLD022-0000529,SYNMISMATCH9999999,Yes,,,,,,Yes,,,,,
SYNEWPLD022-0000533,SYNEWPLD022-0000534,,Yes,,,,,,Yes,,,,
SYNEWPLD022-0000537,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,Yes,,,,,Yes,,,,
NOT-A-BATES,SYNEWPLD022-0000541,,,,Yes,,,,Yes,,,,
SYNEWPLD022-0000546,SYNEWPLD022-0000545,,,,,Yes,,,Yes,,,,
SYNEWPLD022-0000549,SYNMISMATCH9999999,,,,,,Yes,,Yes,,,,
SYNEWPLD022-0000553,SYNEWPLD022-0000553,,,,,,,Yes,Yes,,,,
SYNEWPLD022-0000557,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,,,,Yes,,,,
NOT-A-BATES,SYNEWPLD022-0000563,,,,,,,,,Yes,,,
SYNEWPLD022-0000565,SYNEWPLD022-0000565,,,,,,,,,Yes,Yes,,
SYNEWPLD022-0000569,SYNMISMATCH9999999,,,,,,,,,Yes,,Yes,
SYNEWPLD022-0000573,SYNEWPLD022-0000575,,,,,,,,,Yes,,,Yes
SYNEWPLD022-0000577,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,Yes,,,,,,,,Yes,,,
NOT-A-BATES,SYNEWPLD022-0000582,,Yes,,,,,,,Yes,,,
SYNEWPLD022-0000587,SYNEWPLD022-0000585,,,Yes,,,,,,Yes,,,
SYNEWPLD022-0000589,SYNMISMATCH9999999,,,,Yes,,,,,,Yes,,
SYNEWPLD022-0000593,SYNEWPLD022-0000594,,,,,Yes,,,,,Yes,,
SYNEWPLD022-0000597,SYNEWPLD022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,,,,,,Yes,,,,Yes,,
