Begin Bates num from SYNTHETIC_PROD_001,End Bates num from SYNTHETIC_PROD_001,Tag: RFP 01 - Synthetic request category 01,Tag: RFP 02 - Synthetic request category 02,Tag: RFP 03 - Synthetic request category 03,Tag: RFP 04 - Synthetic request category 04,Tag: RFP 05 - Synthetic request category 05,Tag: RFP 06 - Synthetic request category 06,Tag: RFP 07 - Synthetic request category 07,Tag: RFP 08 - Synthetic request category 08,Tag: RFP 09 - Synthetic request category 09,Tag: RFP 10 - Synthetic request category 10,Tag: RFP 11 - Synthetic request category 11,Tag: RFP 12 - Synthetic request category 12
SYNEWPLD024-0000137,SYNEWPLD024-0000138,,,,,Yes,,,,,,Yes,
SYNEWPLD024-0000141,SYNEWPLD024-0000143,,,,,,Yes,,,,,,Yes
SYNEWPLD024-0000145,SYNEWPLD024-0000145,Yes,,,,,Yes,,,,,,
SYNEWPLD024-0000149,SYNEWPLD024-0000150,,Yes,,,,Yes,,,,,,
SYNEWPLD024-0000153,SYNEWPLD024-0000155,,,Yes,,,Yes,,,,,,
SYNEWPLD024-0000157,SYNEWPLD024-0000157,,,,Yes,,Yes,,,,,,
SYNEWPLD024-0000161,SYNEWPLD024-0000162,,,,,Yes,Yes,,,,,,
SYNEWPLD024-0000165,SYNEWPLD024-0000167,,,,,,Yes,,,,,,
SYNEWPLD024-0000169,SYNEWPLD024-0000169,,,,,,,Yes,,,,,
SYNEWPLD024-0000173,SYNEWPLD024-0000174,,,,,,,Yes,Yes,,,,
SYNEWPLD024-0000177,SYNEWPLD024-0000179,,,,,,,Yes,,Yes,,,
SYNEWPLD024-0000181,SYNEWPLD024-0000181,,,,,,,Yes,,,Yes,,
SYNEWPLD024-0000185,SYNEWPLD024-0000186,,,,,,,Yes,,,,Yes,
SYNEWPLD024-0000189,SYNEWPLD024-0000191,,,,,,,Yes,,,,,Yes
SYNEWPLD024-0000193,SYNEWPLD024-0000193,Yes,,,,,,Yes,,,,,
SYNEWPLD024-0000197,SYNEWPLD024-0000198,,Yes,,,,,,Yes,,,,
SYNEWPLD024-0000201,SYNEWPLD024-0000203,,,Yes,,,,,Yes,,,,
SYNEWPLD024-0000205,SYNEWPLD024-0000205,,,,Yes,,,,Yes,,,,
SYNEWPLD024-0000209,SYNEWPLD024-0000210,,,,,Yes,,,Yes,,,,
SYNEWPLD024-0000213,SYNEWPLD024-0000215,,,,,,Yes,,Yes,,,,
SYNEWPLD024-0000217,SYNEWPLD024-0000217,,,,,,,Yes,Yes,,,,
SYNEWPLD024-0000221,SYNEWPLD024-0000222,,,,,,,,Yes,,,,
SYNEWPLD024-0000225,SYNEWPLD024-0000227,,,,,,,,,Yes,,,
SYNEWPLD024-0000229,SYNEWPLD024-0000229,,,,,,,,,Yes,Yes,,
SYNEWPLD024-0000233,SYNEWPLD024-0000234,,,,,,,,,Yes,,Yes,
SYNEWPLD024-0000237,SYNEWPLD024-0000239,,,,,,,,,Yes,,,Yes
SYNEWPLD024-0000241,SYNEWPLD024-0000241,Yes,,,,,,,,Yes,,,
SYNEWPLD024-0000245,SYNEWPLD024-0000246,,Yes,,,,,,,Yes,,,
SYNEWPLD024-0000249,SYNEWPLD024-0000251,,,Yes,,,,,,Yes,,,
SYNEWPLD024-0000253,SYNEWPLD024-0000253,,,,Yes,,,,,,Yes,,
SYNEWPLD024-0000257,SYNEWPLD024-0000258,,,,,Yes,,,,,Yes,,
SYNEWPLD024-0000261,SYNEWPLD024-0000263,,,,,,Yes,,,,Yes,,
SYNEWPLD024-0000265,SYNEWPLD024-0000265,,,,,,,Yes,,,Yes,,
SYNEWPLD024-0000269,SYNEWPLD024-0000270,,,,,,,,Yes,,Yes,,
SYNEWPLD024-0000273,SYNEWPLD024-0000275,,,,,,,,,Yes,Yes,,
SYNEWPLD024-0000277,SYNEWPLD024-0000277,,,,,,,,,,Yes,,
SYNEWPLD024-0000281,SYNEWPLD024-0000282,,,,,,,,,,,Yes,
SYNEWPLD024-0000285,SYNEWPLD024-0000287,,,,,,,,,,,Yes,Yes
SYNEWPLD024-0000289,SYNEWPLD024-0000289,Yes,,,,,,,,,,Yes,
SYNEWPLD024-0000293,SYNEWPLD024-0000294,,Yes,,,,,,,,,Yes,
SYNEWPLD024-0000297,SYNEWPLD024-0000299,,,Yes,,,,,,,,Yes,
SYNEWPLD024-0000301,SYNEWPLD024-0000301,,,,Yes,,,,,,,Yes,
SYNEWPLD024-0000305,SYNEWPLD024-0000306,,,,,Yes,,,,,,Yes,
SYNEWPLD024-0000309,SYNEWPLD024-0000311,,,,,,Yes,,,,,,Yes
SYNEWPLD024-0000313,SYNEWPLD024-0000313,,,,,,,Yes,,,,,Yes
SYNEWPLD024-0000317,SYNEWPLD024-0000318,,,,,,,,Yes,,,,Yes
SYNEWPLD024-0000321,SYNEWPLD024-0000323,,,,,,,,,Yes,,,Yes
SYNEWPLD024-0000325,SYNEWPLD024-0000325,,,,,,,,,,Yes,,Yes
SYNEWPLD024-0000329,SYNEWPLD024-0000330,,,,,,,,,,,Yes,Yes
SYNEWPLD024-0000333,SYNEWPLD024-0000335,,,,,,,,,,,,Yes
SYNEWPLD024-0000337,SYNEWPLD024-0000337,Yes,,,,,,,,,,,
SYNEWPLD024-0000341,SYNEWPLD024-0000342,Yes,Yes,,,,,,,,,,
SYNEWPLD024-0000345,SYNEWPLD024-0000347,Yes,,Yes,,,,,,,,,
SYNEWPLD024-0000349,SYNEWPLD024-0000349,Yes,,,Yes,,,,,,,,
SYNEWPLD024-0000353,SYNEWPLD024-0000354,Yes,,,,Yes,,,,,,,
SYNEWPLD024-0000357,SYNEWPLD024-0000359,Yes,,,,,Yes,,,,,,
SYNEWPLD024-0000361,SYNEWPLD024-0000361,Yes,,,,,,Yes,,,,,
SYNEWPLD024-0000365,SYNEWPLD024-0000366,,Yes,,,,,,Yes,,,,
SYNEWPLD024-0000369,SYNEWPLD024-0000371,,Yes,,,,,,,Yes,,,
SYNEWPLD024-0000373,SYNEWPLD024-0000373,,Yes,,,,,,,,Yes,,
SYNEWPLD024-0000377,SYNEWPLD024-0000378,,Yes,,,,,,,,,Yes,
SYNEWPLD024-0000381,SYNEWPLD024-0000383,,Yes,,,,,,,,,,Yes
SYNEWPLD024-0000385,SYNEWPLD024-0000385,Yes,Yes,,,,,,,,,,
SYNEWPLD024-0000389,SYNEWPLD024-0000390,,Yes,,,,,,,,,,
SYNEWPLD024-0000393,SYNEWPLD024-0000395,,,Yes,,,,,,,,,
SYNEWPLD024-0000397,SYNEWPLD024-0000397,,,Yes,Yes,,,,,,,,
SYNEWPLD024-0000401,SYNEWPLD024-0000402,,,Yes,,Yes,,,,,,,
SYNEWPLD024-0000405,SYNEWPLD024-0000407,,,Yes,,,Yes,,,,,,
SYNEWPLD024-0000409,SYNEWPLD024-0000409,,,Yes,,,,Yes,,,,,
SYNEWPLD024-0000413,SYNEWPLD024-0000414,,,Yes,,,,,Yes,,,,
SYNEWPLD024-0000417,SYNEWPLD024-0000419,,,Yes,,,,,,Yes,,,
SYNEWPLD024-0000421,SYNEWPLD024-0000421,,,,Yes,,,,,,Yes,,
SYNEWPLD024-0000425,SYNEWPLD024-0000426,,,,Yes,,,,,,,Yes,
SYNEWPLD024-0000429,SYNEWPLD024-0000431,,,,Yes,,,,,,,,Yes
SYNEWPLD024-0000433,SYNEWPLD024-0000433,Yes,,,Yes,,,,,,,,
SYNEWPLD024-0000437,SYNEWPLD024-0000438,,Yes,,Yes,,,,,,,,
SYNEWPLD024-0000441,SYNEWPLD024-0000443,,,Yes,Yes,,,,,,,,
SYNEWPLD024-0000445,SYNEWPLD024-0000445,,,,Yes,,,,,,,,
SYNEWPLD024-0000449,SYNEWPLD024-0000450,,,,,Yes,,,,,,,
SYNEWPLD024-0000453,SYNEWPLD024-0000455,,,,,Yes,Yes,,,,,,
SYNEWPLD024-0000457,SYNEWPLD024-0000457,,,,,Yes,,Yes,,,,,
SYNEWPLD024-0000461,SYNEWPLD024-0000462,,,,,Yes,,,Yes,,,,
SYNEWPLD024-0000465,SYNEWPLD024-0000467,,,,,Yes,,,,Yes,,,
SYNEWPLD024-0000469,SYNEWPLD024-0000469,,,,,Yes,,,,,Yes,,
SYNEWPLD024-0000473,SYNEWPLD024-0000474,,,,,Yes,,,,,,Yes,
SYNEWPLD024-0000477,SYNEWPLD024-0000479,,,,,,Yes,,,,,,Yes
SYNEWPLD024-0000481,SYNEWPLD024-0000481,Yes,,,,,Yes,,,,,,
SYNEWPLD024-0000485,SYNEWPLD024-0000486,,Yes,,,,Yes,,,,,,
SYNEWPLD024-0000489,SYNEWPLD024-0000491,,,Yes,,,Yes,,,,,,
SYNEWPLD024-0000493,SYNEWPLD024-0000493,,,,Yes,,Yes,,,,,,
SYNEWPLD024-0000497,SYNEWPLD024-0000498,,,,,Yes,Yes,,,,,,
SYNEWPLD024-0000501,SYNEWPLD024-0000503,,,,,,Yes,,,,,,
SYNEWPLD024-0000505,SYNEWPLD024-0000505,,,,,,,Yes,,,,,
SYNEWPLD024-0000509,SYNEWPLD024-0000510,,,,,,,Yes,Yes,,,,
SYNEWPLD024-0000513,SYNEWPLD024-0000515,,,,,,,Yes,,Yes,,,
SYNEWPLD024-0000517,SYNEWPLD024-0000517,,,,,,,Yes,,,Yes,,
SYNEWPLD024-0000521,SYNEWPLD024-0000522,,,,,,,Yes,,,,Yes,
SYNEWPLD024-0000525,SYNEWPLD024-0000527,,,,,,,Yes,,,,,Yes
SYNEWPLD024-0000529,SYNEWPLD024-0000529,Yes,,,,,,Yes,,,,,
SYNEWPLD024-0000533,SYNEWPLD024-0000534,,Yes,,,,,,Yes,,,,
SYNEWPLD024-0000537,SYNEWPLD024-0000539,,,Yes,,,,,Yes,,,,
SYNEWPLD024-0000541,SYNEWPLD024-0000541,,,,Yes,,,,Yes,,,,
SYNEWPLD024-0000545,SYNEWPLD024-0000546,,,,,Yes,,,Yes,,,,
SYNEWPLD024-0000549,SYNEWPLD024-0000551,,,,,,Yes,,Yes,,,,
SYNEWPLD024-0000553,SYNEWPLD024-0000553,,,,,,,Yes,Yes,,,,
SYNEWPLD024-0000557,SYNEWPLD024-0000558,,,,,,,,Yes,,,,
SYNEWPLD024-0000561,SYNEWPLD024-0000563,,,,,,,,,Yes,,,
SYNEWPLD024-0000565,SYNEWPLD024-0000565,,,,,,,,,Yes,Yes,,
SYNEWPLD024-0000569,SYNEWPLD024-0000570,,,,,,,,,Yes,,Yes,
SYNEWPLD024-0000573,SYNEWPLD024-0000575,,,,,,,,,Yes,,,Yes
SYNEWPLD024-0000577,SYNEWPLD024-0000577,Yes,,,,,,,,Yes,,,
SYNEWPLD024-0000581,SYNEWPLD024-0000582,,Yes,,,,,,,Yes,,,
SYNEWPLD024-0000585,SYNEWPLD024-0000587,,,Yes,,,,,,Yes,,,
SYNEWPLD024-0000589,SYNEWPLD024-0000589,,,,Yes,,,,,,Yes,,
SYNEWPLD024-0000593,SYNEWPLD024-0000594,,,,,Yes,,,,,Yes,,
SYNEWPLD024-0000597,SYNEWPLD024-0000599,,,,,,Yes,,,,Yes,,
SYNEWPLD024-0000601,SYNEWPLD024-0000601,,,,,,,Yes,,,Yes,,
SYNEWPLD024-0000605,SYNEWPLD024-0000606,,,,,,,,Yes,,Yes,,
SYNEWPLD024-0000609,SYNEWPLD024-0000611,,,,,,,,,Yes,Yes,,
SYNEWPLD024-0000613,SYNEWPLD024-0000613,,,,,,,,,,Yes,,
SYNEWPLD024-0000617,SYNEWPLD024-0000618,,,,,,,,,,,Yes,
SYNEWPLD024-0000621,SYNEWPLD024-0000623,,,,,,,,,,,Yes,Yes
SYNEWPLD024-0000625,SYNEWPLD024-0000625,Yes,,,,,,,,,,Yes,
SYNEWPLD024-0000629,SYNEWPLD024-0000630,,Yes,,,,,,,,,Yes,
SYNEWPLD024-0000633,SYNEWPLD024-0000635,,,Yes,,,,,,,,Yes,
SYNEWPLD024-0000637,SYNEWPLD024-0000637,,,,Yes,,,,,,,Yes,
SYNEWPLD024-0000641,SYNEWPLD024-0000642,,,,,Yes,,,,,,Yes,
SYNEWPLD024-0000645,SYNEWPLD024-0000647,,,,,,Yes,,,,,,Yes
SYNEWPLD024-0000649,SYNEWPLD024-0000649,,,,,,,Yes,,,,,Yes
SYNEWPLD024-0000653,SYNEWPLD024-0000654,,,,,,,,Yes,,,,Yes
SYNEWPLD024-0000657,SYNEWPLD024-0000659,,,,,,,,,Yes,,,Yes
SYNEWPLD024-0000661,SYNEWPLD024-0000661,,,,,,,,,,Yes,,Yes
SYNEWPLD024-0000665,SYNEWPLD024-0000666,,,,,,,,,,,Yes,Yes
SYNEWPLD024-0000669,SYNEWPLD024-0000671,,,,,,,,,,,,Yes
SYNEWPLD024-0000673,SYNEWPLD024-0000673,Yes,,,,,,,,,,,
SYNEWPLD024-0000677,SYNEWPLD024-0000678,Yes,Yes,,,,,,,,,,
SYNEWPLD024-0000681,SYNEWPLD024-0000683,Yes,,Yes,,,,,,,,,
SYNEWPLD024-0000685,SYNEWPLD024-0000685,Yes,,,Yes,,,,,,,,
SYNEWPLD024-0000689,SYNEWPLD024-0000690,Yes,,,,Yes,,,,,,,
SYNEWPLD024-0000693,SYNEWPLD024-0000695,Yes,,,,,Yes,,,,,,
SYNEWPLD024-0000697,SYNEWPLD024-0000697,Yes,,,,,,Yes,,,,,
SYNEWPLD024-0000701,SYNEWPLD024-0000702,,Yes,,,,,,Yes,,,,
SYNEWPLD024-0000705,SYNEWPLD024-0000707,,Yes,,,,,,,Yes,,,
SYNEWPLD024-0000709,SYNEWPLD024-0000709,,Yes,,,,,,,,Yes,,
SYNEWPLD024-0000713,SYNEWPLD024-0000714,,Yes,,,,,,,,,Yes,
SYNEWPLD024-0000717,SYNEWPLD024-0000719,,Yes,,,,,,,,,,Yes
SYNEWPLD024-0000721,SYNEWPLD024-0000721,Yes,Yes,,,,,,,,,,
SYNEWPLD024-0000725,SYNEWPLD024-0000726,,Yes,,,,,,,,,,
SYNEWPLD024-0000729,SYNEWPLD024-0000731,,,Yes,,,,,,,,,
SYNEWPLD024-0000733,SYNEWPLD024-0000733,,,Yes,Yes,,,,,,,,
SYNEWPLD024-0000737,SYNEWPLD024-0000738,,,Yes,,Yes,,,,,,,
SYNEWPLD024-0000741,SYNEWPLD024-0000743,,,Yes,,,Yes,,,,,,
SYNEWPLD024-0000745,SYNEWPLD024-0000745,,,Yes,,,,Yes,,,,,
SYNEWPLD024-0000749,SYNEWPLD024-0000750,,,Yes,,,,,Yes,,,,
SYNEWPLD024-0000753,SYNEWPLD024-0000755,,,Yes,,,,,,Yes,,,
SYNEWPLD024-0000757,SYNEWPLD024-0000757,,,,Yes,,,,,,Yes,,
SYNEWPLD024-0000761,SYNEWPLD024-0000762,,,,Yes,,,,,,,Yes,
SYNEWPLD024-0000765,SYNEWPLD024-0000767,,,,Yes,,,,,,,,Yes
SYNEWPLD024-0000769,SYNEWPLD024-0000769,Yes,,,Yes,,,,,,,,
SYNEWPLD024-0000773,SYNEWPLD024-0000774,,Yes,,Yes,,,,,,,,
SYNEWPLD024-0000777,SYNEWPLD024-0000779,,,Yes,Yes,,,,,,,,
SYNEWPLD024-0000781,SYNEWPLD024-0000781,,,,Yes,,,,,,,,
SYNEWPLD024-0000785,SYNEWPLD024-0000786,,,,,Yes,,,,,,,
SYNEWPLD024-0000789,SYNEWPLD024-0000791,,,,,Yes,Yes,,,,,,
SYNEWPLD024-0000793,SYNEWPLD024-0000793,,,,,Yes,,Yes,,,,,
SYNEWPLD024-0000797,SYNEWPLD024-0000798,,,,,Yes,,,Yes,,,,
SYNEWPLD024-0000801,SYNEWPLD024-0000803,,,,,Yes,,,,Yes,,,
SYNEWPLD024-0000805,SYNEWPLD024-0000805,,,,,Yes,,,,,Yes,,
SYNEWPLD024-0000809,SYNEWPLD024-0000810,,,,,Yes,,,,,,Yes,
SYNEWPLD024-0000813,SYNEWPLD024-0000815,,,,,,Yes,,,,,,Yes
SYNEWPLD024-0000817,SYNEWPLD024-0000817,Yes,,,,,Yes,,,,,,
SYNEWPLD024-0000821,SYNEWPLD024-0000822,,Yes,,,,Yes,,,,,,
SYNEWPLD024-0000825,SYNEWPLD024-0000827,,,Yes,,,Yes,,,,,,
SYNEWPLD024-0000829,SYNEWPLD024-0000829,,,,Yes,,Yes,,,,,,
SYNEWPLD024-0000833,SYNEWPLD024-0000834,,,,,Yes,Yes,,,,,,
SYNEWPLD024-0000837,SYNEWPLD024-0000839,,,,,,Yes,,,,,,
SYNEWPLD024-0000841,SYNEWPLD024-0000841,,,,,,,Yes,,,,,
SYNEWPLD024-0000845,SYNEWPLD024-0000846,,,,,,,Yes,Yes,,,,
SYNEWPLD024-0000849,SYNEWPLD024-0000851,,,,,,,Yes,,Yes,,,
SYNEWPLD024-0000853,SYNEWPLD024-0000853,,,,,,,Yes,,,Yes,,
SYNEWPLD024-0000857,SYNEWPLD024-0000858,,,,,,,Yes,,,,Yes,
SYNEWPLD024-0000861,SYNEWPLD024-0000863,,,,,,,Yes,,,,,Yes
SYNEWPLD024-0000865,SYNEWPLD024-0000865,Yes,,,,,,Yes,,,,,
SYNEWPLD024-0000869,SYNEWPLD024-0000870,,Yes,,,,,,Yes,,,,
SYNEWPLD024-0000873,SYNEWPLD024-0000875,,,Yes,,,,,Yes,,,,
SYNEWPLD024-0000877,SYNEWPLD024-0000877,,,,Yes,,,,Yes,,,,
SYNEWPLD024-0000881,SYNEWPLD024-0000882,,,,,Yes,,,Yes,,,,
SYNEWPLD024-0000885,SYNEWPLD024-0000887,,,,,,Yes,,Yes,,,,
SYNEWPLD024-0000889,SYNEWPLD024-0000889,,,,,,,Yes,Yes,,,,
SYNEWPLD024-0000893,SYNEWPLD024-0000894,,,,,,,,Yes,,,,
SYNEWPLD024-0000897,SYNEWPLD024-0000899,,,,,,,,,Yes,,,
SYNEWPLD024-0000901,SYNEWPLD024-0000901,,,,,,,,,Yes,Yes,,
SYNEWPLD024-0000905,SYNEWPLD024-0000906,,,,,,,,,Yes,,Yes,
SYNEWPLD024-0000909,SYNEWPLD024-0000911,,,,,,,,,Yes,,,Yes
SYNEWPLD024-0000913,SYNEWPLD024-0000913,Yes,,,,,,,,Yes,,,
SYNEWPLD024-0000917,SYNEWPLD024-0000918,,Yes,,,,,,,Yes,,,
SYNEWPLD024-0000921,SYNEWPLD024-0000923,,,Yes,,,,,,Yes,,,
SYNEWPLD024-0000925,SYNEWPLD024-0000925,,,,Yes,,,,,,Yes,,
SYNEWPLD024-0000929,SYNEWPLD024-0000930,,,,,Yes,,,,,Yes,,
SYNEWPLD024-0000933,SYNEWPLD024-0000935,,,,,,Yes,,,,Yes,,
SYNEWPLD024-0000937,SYNEWPLD024-0000937,,,,,,,Yes,,,Yes,,
SYNEWPLD024-0000941,SYNEWPLD024-0000942,,,,,,,,Yes,,Yes,,
SYNEWPLD024-0000945,SYNEWPLD024-0000947,,,,,,,,,Yes,Yes,,
SYNEWPLD024-0000949,SYNEWPLD024-0000949,,,,,,,,,,Yes,,
SYNEWPLD024-0000953,SYNEWPLD024-0000954,,,,,,,,,,,Yes,
SYNEWPLD024-0000957,SYNEWPLD024-0000959,,,,,,,,,,,Yes,Yes
SYNEWPLD024-0000961,SYNEWPLD024-0000961,Yes,,,,,,,,,,Yes,
SYNEWPLD024-0000965,SYNEWPLD024-0000966,,Yes,,,,,,,,,Yes,
SYNEWPLD024-0000969,SYNEWPLD024-0000971,,,Yes,,,,,,,,Yes,
SYNEWPLD024-0000973,SYNEWPLD024-0000973,,,,Yes,,,,,,,Yes,
SYNEWPLD024-0000977,SYNEWPLD024-0000978,,,,,Yes,,,,,,Yes,
SYNEWPLD024-0000981,SYNEWPLD024-0000983,,,,,,Yes,,,,,,Yes
SYNEWPLD024-0000985,SYNEWPLD024-0000985,,,,,,,Yes,,,,,Yes
SYNEWPLD024-0000989,SYNEWPLD024-0000990,,,,,,,,Yes,,,,Yes
SYNEWPLD024-0000993,SYNEWPLD024-0000995,,,,,,,,,Yes,,,Yes
SYNEWPLD024-0000997,SYNEWPLD024-0000997,,,,,,,,,,Yes,,Yes
SYNEWPLD024-0001001,SYNEWPLD024-0001002,,,,,,,,,,,Yes,Yes
SYNEWPLD024-0001005,SYNEWPLD024-0001007,,,,,,,,,,,,Yes
SYNEWPLD024-0001009,SYNEWPLD024-0001009,Yes,,,,,,,,,,,
SYNEWPLD024-0001013,SYNEWPLD024-0001014,Yes,Yes,,,,,,,,,,
SYNEWPLD024-0001017,SYNEWPLD024-0001019,Yes,,Yes,,,,,,,,,
SYNEWPLD024-0001021,SYNEWPLD024-0001021,Yes,,,Yes,,,,,,,,
SYNEWPLD024-0001025,SYNEWPLD024-0001026,Yes,,,,Yes,,,,,,,
SYNEWPLD024-0001029,SYNEWPLD024-0001031,Yes,,,,,Yes,,,,,,
SYNEWPLD024-0001033,SYNEWPLD024-0001033,Yes,,,,,,Yes,,,,,
SYNEWPLD024-0001037,SYNEWPLD024-0001038,,Yes,,,,,,Yes,,,,
SYNEWPLD024-0001041,SYNEWPLD024-0001043,,Yes,,,,,,,Yes,,,
SYNEWPLD024-0001045,SYNEWPLD024-0001045,,Yes,,,,,,,,Yes,,
SYNEWPLD024-0001049,SYNEWPLD024-0001050,,Yes,,,,,,,,,Yes,
SYNEWPLD024-0001053,SYNEWPLD024-0001055,,Yes,,,,,,,,,,Yes
SYNEWPLD024-0001057,SYNEWPLD024-0001057,Yes,Yes,,,,,,,,,,
SYNEWPLD024-0001061,SYNEWPLD024-0001062,,Yes,,,,,,,,,,
SYNEWPLD024-0001065,SYNEWPLD024-0001067,,,Yes,,,,,,,,,
SYNEWPLD024-0001069,SYNEWPLD024-0001069,,,Yes,Yes,,,,,,,,
SYNEWPLD024-0001073,SYNEWPLD024-0001074,,,Yes,,Yes,,,,,,,
SYNEWPLD024-0001077,SYNEWPLD024-0001079,,,Yes,,,Yes,,,,,,
SYNEWPLD024-0001081,SYNEWPLD024-0001081,,,Yes,,,,Yes,,,,,
SYNEWPLD024-0001085,SYNEWPLD024-0001086,,,Yes,,,,,Yes,,,,
SYNEWPLD024-0001089,SYNEWPLD024-0001091,,,Yes,,,,,,Yes,,,
SYNEWPLD024-0001093,SYNEWPLD024-0001093,,,,Yes,,,,,,Yes,,
SYNEWPLD024-0001097,SYNEWPLD024-0001098,,,,Yes,,,,,,,Yes,
SYNEWPLD024-0001101,SYNEWPLD024-0001103,,,,Yes,,,,,,,,Yes
SYNEWPLD024-0001105,SYNEWPLD024-0001105,Yes,,,Yes,,,,,,,,
SYNEWPLD024-0001109,SYNEWPLD024-0001110,,Yes,,Yes,,,,,,,,
SYNEWPLD024-0001113,SYNEWPLD024-0001115,,,Yes,Yes,,,,,,,,
SYNEWPLD024-0001117,SYNEWPLD024-0001117,,,,Yes,,,,,,,,
SYNEWPLD024-0001121,SYNEWPLD024-0001122,,,,,Yes,,,,,,,
SYNEWPLD024-0001125,SYNEWPLD024-0001127,,,,,Yes,Yes,,,,,,
SYNEWPLD024-0001129,SYNEWPLD024-0001129,,,,,Yes,,Yes,,,,,
SYNEWPLD024-0001133,SYNEWPLD024-0001134,,,,,Yes,,,Yes,,,,
SYNEWPLD024-0001137,SYNEWPLD024-0001139,,,,,Yes,,,,Yes,,,
SYNEWPLD024-0001141,SYNEWPLD024-0001141,,,,,Yes,,,,,Yes,,
SYNEWPLD024-0001145,SYNEWPLD024-0001146,,,,,Yes,,,,,,Yes,
SYNEWPLD024-0001149,SYNEWPLD024-0001151,,,,,,Yes,,,,,,Yes
SYNEWPLD024-0001153,SYNEWPLD024-0001153,Yes,,,,,Yes,,,,,,
SYNEWPLD024-0001157,SYNEWPLD024-0001158,,Yes,,,,Yes,,,,,,
SYNEWPLD024-0001161,SYNEWPLD024-0001163,,,Yes,,,Yes,,,,,,
SYNEWPLD024-0001165,SYNEWPLD024-0001165,,,,Yes,,Yes,,,,,,
SYNEWPLD024-0001169,SYNEWPLD024-0001170,,,,,Yes,Yes,,,,,,
SYNEWPLD024-0001173,SYNEWPLD024-0001175,,,,,,Yes,,,,,,
