Begin Bates num from SYNTHETIC_PROD_001,Begin Bates num from SYNTHETIC_PROD_001,End Bates num from SYNTHETIC_PROD_001,Tag: RFP 01 - Synthetic request category 01,Tag: RFP 02 - Synthetic request category 02,Tag: RFP 03 - Synthetic request category 03,Tag: RFP 04 - Synthetic request category 04,Tag: RFP 05 - Synthetic request category 05,Tag: RFP 06 - Synthetic request category 06,Tag: RFP 07 - Synthetic request category 07,Tag: RFP 08 - Synthetic request category 08,Tag: RFP 09 - Synthetic request category 09,Tag: RFP 10 - Synthetic request category 10,Tag: RFP 11 - Synthetic request category 11,Tag: RFP 12 - Synthetic request category 12
SYNEWPLD023-0000069,SYNEWPLD023-0000069,SYNEWPLD023-0000071,,,Yes,,,Yes,,,,,,
SYNEWPLD023-0000073,SYNEWPLD023-0000073,SYNEWPLD023-0000073,,,Yes,,,,Yes,,,,,
SYNEWPLD023-0000077,SYNEWPLD023-0000077,SYNEWPLD023-0000078,,,Yes,,,,,Yes,,,,
SYNEWPLD023-0000081,SYNEWPLD023-0000081,SYNEWPLD023-0000083,,,Yes,,,,,,Yes,,,
SYNEWPLD023-0000085,SYNEWPLD023-0000085,SYNEWPLD023-0000085,,,,Yes,,,,,,Yes,,
SYNEWPLD023-0000089,SYNEWPLD023-0000089,SYNEWPLD023-0000090,,,,Yes,,,,,,,Yes,
SYNEWPLD023-0000093,SYNEWPLD023-0000093,SYNEWPLD023-0000095,,,,Yes,,,,,,,,Yes
SYNEWPLD023-0000097,SYNEWPLD023-0000097,SYNEWPLD023-0000097,Yes,,,Yes,,,,,,,,
SYNEWPLD023-0000101,SYNEWPLD023-0000101,SYNEWPLD023-0000102,,Yes,,Yes,,,,,,,,
SYNEWPLD023-0000105,SYNEWPLD023-0000105,SYNEWPLD023-0000107,,,Yes,Yes,,,,,,,,
SYNEWPLD023-0000109,SYNEWPLD023-0000109,SYNEWPLD023-0000109,,,,Yes,,,,,,,,
SYNEWPLD023-0000113,SYNEWPLD023-0000113,SYNEWPLD023-0000114,,,,,Yes,,,,,,,
SYNEWPLD023-0000117,SYNEWPLD023-0000117,SYNEWPLD023-0000119,,,,,Yes,Yes,,,,,,
SYNEWPLD023-0000121,SYNEWPLD023-0000121,SYNEWPLD023-0000121,,,,,Yes,,Yes,,,,,
SYNEWPLD023-0000125,SYNEWPLD023-0000125,SYNEWPLD023-0000126,,,,,Yes,,,Yes,,,,
SYNEWPLD023-0000129,SYNEWPLD023-0000129,SYNEWPLD023-0000131,,,,,Yes,,,,Yes,,,
SYNEWPLD023-0000133,SYNEWPLD023-0000133,SYNEWPLD023-0000133,,,,,Yes,,,,,Yes,,
SYNEWPLD023-0000137,SYNEWPLD023-0000137,SYNEWPLD023-0000138,,,,,Yes,,,,,,Yes,
SYNEWPLD023-0000141,SYNEWPLD023-0000141,SYNEWPLD023-0000143,,,,,,Yes,,,,,,Yes
SYNEWPLD023-0000145,SYNEWPLD023-0000145,SYNEWPLD023-0000145,Yes,,,,,Yes,,,,,,
SYNEWPLD023-0000149,SYNEWPLD023-0000149,SYNEWPLD023-0000150,,Yes,,,,Yes,,,,,,
SYNEWPLD023-0000153,SYNEWPLD023-0000153,SYNEWPLD023-0000155,,,Yes,,,Yes,,,,,,
SYNEWPLD023-0000157,SYNEWPLD023-0000157,SYNEWPLD023-0000157,,,,Yes,,Yes,,,,,,
SYNEWPLD023-0000161,SYNEWPLD023-0000161,SYNEWPLD023-0000162,,,,,Yes,Yes,,,,,,
SYNEWPLD023-0000165,SYNEWPLD023-0000165,SYNEWPLD023-0000167,,,,,,Yes,,,,,,
SYNEWPLD023-0000169,SYNEWPLD023-0000169,SYNEWPLD023-0000169,,,,,,,Yes,,,,,
SYNEWPLD023-0000173,SYNEWPLD023-0000173,SYNEWPLD023-0000174,,,,,,,Yes,Yes,,,,
SYNEWPLD023-0000177,SYNEWPLD023-0000177,SYNEWPLD023-0000179,,,,,,,Yes,,Yes,,,
SYNEWPLD023-0000181,SYNEWPLD023-0000181,SYNEWPLD023-0000181,,,,,,,Yes,,,Yes,,
SYNEWPLD023-0000185,SYNEWPLD023-0000185,SYNEWPLD023-0000186,,,,,,,Yes,,,,Yes,
SYNEWPLD023-0000189,SYNEWPLD023-0000189,SYNEWPLD023-0000191,,,,,,,Yes,,,,,Yes
SYNEWPLD023-0000193,SYNEWPLD023-0000193,SYNEWPLD023-0000193,Yes,,,,,,Yes,,,,,
SYNEWPLD023-0000197,SYNEWPLD023-0000197,SYNEWPLD023-0000198,,Yes,,,,,,Yes,,,,
SYNEWPLD023-0000201,SYNEWPLD023-0000201,SYNEWPLD023-0000203,,,Yes,,,,,Yes,,,,
SYNEWPLD023-0000205,SYNEWPLD023-0000205,SYNEWPLD023-0000205,,,,Yes,,,,Yes,,,,
SYNEWPLD023-0000209,SYNEWPLD023-0000209,SYNEWPLD023-0000210,,,,,Yes,,,Yes,,,,
SYNEWPLD023-0000213,SYNEWPLD023-0000213,SYNEWPLD023-0000215,,,,,,Yes,,Yes,,,,
SYNEWPLD023-0000217,SYNEWPLD023-0000217,SYNEWPLD023-0000217,,,,,,,Yes,Yes,,,,
SYNEWPLD023-0000221,SYNEWPLD023-0000221,SYNEWPLD023-0000222,,,,,,,,Yes,,,,
SYNEWPLD023-0000225,SYNEWPLD023-0000225,SYNEWPLD023-0000227,,,,,,,,,Yes,,,
SYNEWPLD023-0000229,SYNEWPLD023-0000229,SYNEWPLD023-0000229,,,,,,,,,Yes,Yes,,
SYNEWPLD023-0000233,SYNEWPLD023-0000233,SYNEWPLD023-0000234,,,,,,,,,Yes,,Yes,
SYNEWPLD023-0000237,SYNEWPLD023-0000237,SYNEWPLD023-0000239,,,,,,,,,Yes,,,Yes
SYNEWPLD023-0000241,SYNEWPLD023-0000241,SYNEWPLD023-0000241,Yes,,,,,,,,Yes,,,
SYNEWPLD023-0000245,SYNEWPLD023-0000245,SYNEWPLD023-0000246,,Yes,,,,,,,Yes,,,
SYNEWPLD023-0000249,SYNEWPLD023-0000249,SYNEWPLD023-0000251,,,Yes,,,,,,Yes,,,
SYNEWPLD023-0000253,SYNEWPLD023-0000253,SYNEWPLD023-0000253,,,,Yes,,,,,,Yes,,
SYNEWPLD023-0000257,SYNEWPLD023-0000257,SYNEWPLD023-0000258,,,,,Yes,,,,,Yes,,
SYNEWPLD023-0000261,SYNEWPLD023-0000261,SYNEWPLD023-0000263,,,,,,Yes,,,,Yes,,
SYNEWPLD023-0000265,SYNEWPLD023-0000265,SYNEWPLD023-0000265,,,,,,,Yes,,,Yes,,
SYNEWPLD023-0000269,SYNEWPLD023-0000269,SYNEWPLD023-0000270,,,,,,,,Yes,,Yes,,
SYNEWPLD023-0000273,SYNEWPLD023-0000273,SYNEWPLD023-0000275,,,,,,,,,Yes,Yes,,
SYNEWPLD023-0000277,SYNEWPLD023-0000277,SYNEWPLD023-0000277,,,,,,,,,,Yes,,
SYNEWPLD023-0000281,SYNEWPLD023-0000281,SYNEWPLD023-0000282,,,,,,,,,,,Yes,
SYNEWPLD023-0000285,SYNEWPLD023-0000285,SYNEWPLD023-0000287,,,,,,,,,,,Yes,Yes
SYNEWPLD023-0000289,SYNEWPLD023-0000289,SYNEWPLD023-0000289,Yes,,,,,,,,,,Yes,
SYNEWPLD023-0000293,SYNEWPLD023-0000293,SYNEWPLD023-0000294,,Yes,,,,,,,,,Yes,
SYNEWPLD023-0000297,SYNEWPLD023-0000297,SYNEWPLD023-0000299,,,Yes,,,,,,,,Yes,
SYNEWPLD023-0000301,SYNEWPLD023-0000301,SYNEWPLD023-0000301,,,,Yes,,,,,,,Yes,
SYNEWPLD023-0000305,SYNEWPLD023-0000305,SYNEWPLD023-0000306,,,,,Yes,,,,,,Yes,
SYNEWPLD023-0000309,SYNEWPLD023-0000309,SYNEWPLD023-0000311,,,,,,Yes,,,,,,Yes
SYNEWPLD023-0000313,SYNEWPLD023-0000313,SYNEWPLD023-0000313,,,,,,,Yes,,,,,Yes
SYNEWPLD023-0000317,SYNEWPLD023-0000317,SYNEWPLD023-0000318,,,,,,,,Yes,,,,Yes
SYNEWPLD023-0000321,SYNEWPLD023-0000321,SYNEWPLD023-0000323,,,,,,,,,Yes,,,Yes
SYNEWPLD023-0000325,SYNEWPLD023-0000325,SYNEWPLD023-0000325,,,,,,,,,,Yes,,Yes
SYNEWPLD023-0000329,SYNEWPLD023-0000329,SYNEWPLD023-0000330,,,,,,,,,,,Yes,Yes
SYNEWPLD023-0000333,SYNEWPLD023-0000333,SYNEWPLD023-0000335,,,,,,,,,,,,Yes
SYNEWPLD023-0000337,SYNEWPLD023-0000337,SYNEWPLD023-0000337,Yes,,,,,,,,,,,
SYNEWPLD023-0000341,SYNEWPLD023-0000341,SYNEWPLD023-0000342,Yes,Yes,,,,,,,,,,
SYNEWPLD023-0000345,SYNEWPLD023-0000345,SYNEWPLD023-0000347,Yes,,Yes,,,,,,,,,
SYNEWPLD023-0000349,SYNEWPLD023-0000349,SYNEWPLD023-0000349,Yes,,,Yes,,,,,,,,
SYNEWPLD023-0000353,SYNEWPLD023-0000353,SYNEWPLD023-0000354,Yes,,,,Yes,,,,,,,
SYNEWPLD023-0000357,SYNEWPLD023-0000357,SYNEWPLD023-0000359,Yes,,,,,Yes,,,,,,
SYNEWPLD023-0000361,SYNEWPLD023-0000361,SYNEWPLD023-0000361,Yes,,,,,,Yes,,,,,
SYNEWPLD023-0000365,SYNEWPLD023-0000365,SYNEWPLD023-0000366,,Yes,,,,,,Yes,,,,
SYNEWPLD023-0000369,SYNEWPLD023-0000369,SYNEWPLD023-0000371,,Yes,,,,,,,Yes,,,
SYNEWPLD023-0000373,SYNEWPLD023-0000373,SYNEWPLD023-0000373,,Yes,,,,,,,,Yes,,
SYNEWPLD023-0000377,SYNEWPLD023-0000377,SYNEWPLD023-0000378,,Yes,,,,,,,,,Yes,
SYNEWPLD023-0000381,SYNEWPLD023-0000381,SYNEWPLD023-0000383,,Yes,,,,,,,,,,Yes
SYNEWPLD023-0000385,SYNEWPLD023-0000385,SYNEWPLD023-0000385,Yes,Yes,,,,,,,,,,
SYNEWPLD023-0000389,SYNEWPLD023-0000389,SYNEWPLD023-0000390,,Yes,,,,,,,,,,
SYNEWPLD023-0000393,SYNEWPLD023-0000393,SYNEWPLD023-0000395,,,Yes,,,,,,,,,
SYNEWPLD023-0000397,SYNEWPLD023-0000397,SYNEWPLD023-0000397,,,Yes,Yes,,,,,,,,
SYNEWPLD023-0000401,SYNEWPLD023-0000401,SYNEWPLD023-0000402,,,Yes,,Yes,,,,,,,
SYNEWPLD023-0000405,SYNEWPLD023-0000405,SYNEWPLD023-0000407,,,Yes,,,Yes,,,,,,
SYNEWPLD023-0000409,SYNEWPLD023-0000409,SYNEWPLD023-0000409,,,Yes,,,,Yes,,,,,
SYNEWPLD023-0000413,SYNEWPLD023-0000413,SYNEWPLD023-0000414,,,Yes,,,,,Yes,,,,
SYNEWPLD023-0000417,SYNEWPLD023-0000417,SYNEWPLD023-0000419,,,Yes,,,,,,Yes,,,
SYNEWPLD023-0000421,SYNEWPLD023-0000421,SYNEWPLD023-0000421,,,,Yes,,,,,,Yes,,
SYNEWPLD023-0000425,SYNEWPLD023-0000425,SYNEWPLD023-0000426,,,,Yes,,,,,,,Yes,
SYNEWPLD023-0000429,SYNEWPLD023-0000429,SYNEWPLD023-0000431,,,,Yes,,,,,,,,Yes
SYNEWPLD023-0000433,SYNEWPLD023-0000433,SYNEWPLD023-0000433,Yes,,,Yes,,,,,,,,
SYNEWPLD023-0000437,SYNEWPLD023-0000437,SYNEWPLD023-0000438,,Yes,,Yes,,,,,,,,
SYNEWPLD023-0000441,SYNEWPLD023-0000441,SYNEWPLD023-0000443,,,Yes,Yes,,,,,,,,
SYNEWPLD023-0000445,SYNEWPLD023-0000445,SYNEWPLD023-0000445,,,,Yes,,,,,,,,
SYNEWPLD023-0000449,SYNEWPLD023-0000449,SYNEWPLD023-0000450,,,,,Yes,,,,,,,
SYNEWPLD023-0000453,SYNEWPLD023-0000453,SYNEWPLD023-0000455,,,,,Yes,Yes,,,,,,
SYNEWPLD023-0000457,SYNEWPLD023-0000457,SYNEWPLD023-0000457,,,,,Yes,,Yes,,,,,
SYNEWPLD023-0000461,SYNEWPLD023-0000461,SYNEWPLD023-0000462,,,,,Yes,,,Yes,,,,
SYNEWPLD023-0000465,SYNEWPLD023-0000465,SYNEWPLD023-0000467,,,,,Yes,,,,Yes,,,
SYNEWPLD023-0000469,SYNEWPLD023-0000469,SYNEWPLD023-0000469,,,,,Yes,,,,,Yes,,
SYNEWPLD023-0000473,SYNEWPLD023-0000473,SYNEWPLD023-0000474,,,,,Yes,,,,,,Yes,
SYNEWPLD023-0000477,SYNEWPLD023-0000477,SYNEWPLD023-0000479,,,,,,Yes,,,,,,Yes
SYNEWPLD023-0000481,SYNEWPLD023-0000481,SYNEWPLD023-0000481,Yes,,,,,Yes,,,,,,
SYNEWPLD023-0000485,SYNEWPLD023-0000485,SYNEWPLD023-0000486,,Yes,,,,Yes,,,,,,
SYNEWPLD023-0000489,SYNEWPLD023-0000489,SYNEWPLD023-0000491,,,Yes,,,Yes,,,,,,
SYNEWPLD023-0000493,SYNEWPLD023-0000493,SYNEWPLD023-0000493,,,,Yes,,Yes,,,,,,
SYNEWPLD023-0000497,SYNEWPLD023-0000497,SYNEWPLD023-0000498,,,,,Yes,Yes,,,,,,
SYNEWPLD023-0000501,SYNEWPLD023-0000501,SYNEWPLD023-0000503,,,,,,Yes,,,,,,
SYNEWPLD023-0000505,SYNEWPLD023-0000505,SYNEWPLD023-0000505,,,,,,,Yes,,,,,
SYNEWPLD023-0000509,SYNEWPLD023-0000509,SYNEWPLD023-0000510,,,,,,,Yes,Yes,,,,
SYNEWPLD023-0000513,SYNEWPLD023-0000513,SYNEWPLD023-0000515,,,,,,,Yes,,Yes,,,
SYNEWPLD023-0000517,SYNEWPLD023-0000517,SYNEWPLD023-0000517,,,,,,,Yes,,,Yes,,
SYNEWPLD023-0000521,SYNEWPLD023-0000521,SYNEWPLD023-0000522,,,,,,,Yes,,,,Yes,
SYNEWPLD023-0000525,SYNEWPLD023-0000525,SYNEWPLD023-0000527,,,,,,,Yes,,,,,Yes
SYNEWPLD023-0000529,SYNEWPLD023-0000529,SYNEWPLD023-0000529,Yes,,,,,,Yes,,,,,
SYNEWPLD023-0000533,SYNEWPLD023-0000533,SYNEWPLD023-0000534,,Yes,,,,,,Yes,,,,
SYNEWPLD023-0000537,SYNEWPLD023-0000537,SYNEWPLD023-0000539,,,Yes,,,,,Yes,,,,
SYNEWPLD023-0000541,SYNEWPLD023-0000541,SYNEWPLD023-0000541,,,,Yes,,,,Yes,,,,
SYNEWPLD023-0000545,SYNEWPLD023-0000545,SYNEWPLD023-0000546,,,,,Yes,,,Yes,,,,
SYNEWPLD023-0000549,SYNEWPLD023-0000549,SYNEWPLD023-0000551,,,,,,Yes,,Yes,,,,
SYNEWPLD023-0000553,SYNEWPLD023-0000553,SYNEWPLD023-0000553,,,,,,,Yes,Yes,,,,
SYNEWPLD023-0000557,SYNEWPLD023-0000557,SYNEWPLD023-0000558,,,,,,,,Yes,,,,
SYNEWPLD023-0000561,SYNEWPLD023-0000561,SYNEWPLD023-0000563,,,,,,,,,Yes,,,
SYNEWPLD023-0000565,SYNEWPLD023-0000565,SYNEWPLD023-0000565,,,,,,,,,Yes,Yes,,
SYNEWPLD023-0000569,SYNEWPLD023-0000569,SYNEWPLD023-0000570,,,,,,,,,Yes,,Yes,
SYNEWPLD023-0000573,SYNEWPLD023-0000573,SYNEWPLD023-0000575,,,,,,,,,Yes,,,Yes
SYNEWPLD023-0000577,SYNEWPLD023-0000577,SYNEWPLD023-0000577,Yes,,,,,,,,Yes,,,
SYNEWPLD023-0000581,SYNEWPLD023-0000581,SYNEWPLD023-0000582,,Yes,,,,,,,Yes,,,
SYNEWPLD023-0000585,SYNEWPLD023-0000585,SYNEWPLD023-0000587,,,Yes,,,,,,Yes,,,
SYNEWPLD023-0000589,SYNEWPLD023-0000589,SYNEWPLD023-0000589,,,,Yes,,,,,,Yes,,
SYNEWPLD023-0000593,SYNEWPLD023-0000593,SYNEWPLD023-0000594,,,,,Yes,,,,,Yes,,
SYNEWPLD023-0000597,SYNEWPLD023-0000597,SYNEWPLD023-0000599,,,,,,Yes,,,,Yes,,
SYNEWPLD023-0000601,SYNEWPLD023-0000601,SYNEWPLD023-0000601,,,,,,,Yes,,,Yes,,
SYNEWPLD023-0000605,SYNEWPLD023-0000605,SYNEWPLD023-0000606,,,,,,,,Yes,,Yes,,
SYNEWPLD023-0000609,SYNEWPLD023-0000609,SYNEWPLD023-0000611,,,,,,,,,Yes,Yes,,
SYNEWPLD023-0000613,SYNEWPLD023-0000613,SYNEWPLD023-0000613,,,,,,,,,,Yes,,
SYNEWPLD023-0000617,SYNEWPLD023-0000617,SYNEWPLD023-0000618,,,,,,,,,,,Yes,
SYNEWPLD023-0000621,SYNEWPLD023-0000621,SYNEWPLD023-0000623,,,,,,,,,,,Yes,Yes
SYNEWPLD023-0000625,SYNEWPLD023-0000625,SYNEWPLD023-0000625,Yes,,,,,,,,,,Yes,
SYNEWPLD023-0000629,SYNEWPLD023-0000629,SYNEWPLD023-0000630,,Yes,,,,,,,,,Yes,
SYNEWPLD023-0000633,SYNEWPLD023-0000633,SYNEWPLD023-0000635,,,Yes,,,,,,,,Yes,
SYNEWPLD023-0000637,SYNEWPLD023-0000637,SYNEWPLD023-0000637,,,,Yes,,,,,,,Yes,
SYNEWPLD023-0000641,SYNEWPLD023-0000641,SYNEWPLD023-0000642,,,,,Yes,,,,,,Yes,
SYNEWPLD023-0000645,SYNEWPLD023-0000645,SYNEWPLD023-0000647,,,,,,Yes,,,,,,Yes
SYNEWPLD023-0000649,SYNEWPLD023-0000649,SYNEWPLD023-0000649,,,,,,,Yes,,,,,Yes
SYNEWPLD023-0000653,SYNEWPLD023-0000653,SYNEWPLD023-0000654,,,,,,,,Yes,,,,Yes
SYNEWPLD023-0000657,SYNEWPLD023-0000657,SYNEWPLD023-0000659,,,,,,,,,Yes,,,Yes
SYNEWPLD023-0000661,SYNEWPLD023-0000661,SYNEWPLD023-0000661,,,,,,,,,,Yes,,Yes
SYNEWPLD023-0000665,SYNEWPLD023-0000665,SYNEWPLD023-0000666,,,,,,,,,,,Yes,Yes
SYNEWPLD023-0000669,SYNEWPLD023-0000669,SYNEWPLD023-0000671,,,,,,,,,,,,Yes
SYNEWPLD023-0000673,SYNEWPLD023-0000673,SYNEWPLD023-0000673,Yes,,,,,,,,,,,
SYNEWPLD023-0000677,SYNEWPLD023-0000677,SYNEWPLD023-0000678,Yes,Yes,,,,,,,,,,
SYNEWPLD023-0000681,SYNEWPLD023-0000681,SYNEWPLD023-0000683,Yes,,Yes,,,,,,,,,
SYNEWPLD023-0000685,SYNEWPLD023-0000685,SYNEWPLD023-0000685,Yes,,,Yes,,,,,,,,
SYNEWPLD023-0000689,SYNEWPLD023-0000689,SYNEWPLD023-0000690,Yes,,,,Yes,,,,,,,
SYNEWPLD023-0000693,SYNEWPLD023-0000693,SYNEWPLD023-0000695,Yes,,,,,Yes,,,,,,
SYNEWPLD023-0000697,SYNEWPLD023-0000697,SYNEWPLD023-0000697,Yes,,,,,,Yes,,,,,
SYNEWPLD023-0000701,SYNEWPLD023-0000701,SYNEWPLD023-0000702,,Yes,,,,,,Yes,,,,
SYNEWPLD023-0000705,SYNEWPLD023-0000705,SYNEWPLD023-0000707,,Yes,,,,,,,Yes,,,
SYNEWPLD023-0000709,SYNEWPLD023-0000709,SYNEWPLD023-0000709,,Yes,,,,,,,,Yes,,
SYNEWPLD023-0000713,SYNEWPLD023-0000713,SYNEWPLD023-0000714,,Yes,,,,,,,,,Yes,
SYNEWPLD023-0000717,SYNEWPLD023-0000717,SYNEWPLD023-0000719,,Yes,,,,,,,,,,Yes
SYNEWPLD023-0000721,SYNEWPLD023-0000721,SYNEWPLD023-0000721,Yes,Yes,,,,,,,,,,
SYNEWPLD023-0000725,SYNEWPLD023-0000725,SYNEWPLD023-0000726,,Yes,,,,,,,,,,
SYNEWPLD023-0000729,SYNEWPLD023-0000729,SYNEWPLD023-0000731,,,Yes,,,,,,,,,
SYNEWPLD023-0000733,SYNEWPLD023-0000733,SYNEWPLD023-0000733,,,Yes,Yes,,,,,,,,
SYNEWPLD023-0000737,SYNEWPLD023-0000737,SYNEWPLD023-0000738,,,Yes,,Yes,,,,,,,
SYNEWPLD023-0000741,SYNEWPLD023-0000741,SYNEWPLD023-0000743,,,Yes,,,Yes,,,,,,
SYNEWPLD023-0000745,SYNEWPLD023-0000745,SYNEWPLD023-0000745,,,Yes,,,,Yes,,,,,
SYNEWPLD023-0000749,SYNEWPLD023-0000749,SYNEWPLD023-0000750,,,Yes,,,,,Yes,,,,
SYNEWPLD023-0000753,SYNEWPLD023-0000753,SYNEWPLD023-0000755,,,Yes,,,,,,Yes,,,
SYNEWPLD023-0000757,SYNEWPLD023-0000757,SYNEWPLD023-0000757,,,,Yes,,,,,,Yes,,
SYNEWPLD023-0000761,SYNEWPLD023-0000761,SYNEWPLD023-0000762,,,,Yes,,,,,,,Yes,
SYNEWPLD023-0000765,SYNEWPLD023-0000765,SYNEWPLD023-0000767,,,,Yes,,,,,,,,Yes
SYNEWPLD023-0000769,SYNEWPLD023-0000769,SYNEWPLD023-0000769,Yes,,,Yes,,,,,,,,
SYNEWPLD023-0000773,SYNEWPLD023-0000773,SYNEWPLD023-0000774,,Yes,,Yes,,,,,,,,
SYNEWPLD023-0000777,SYNEWPLD023-0000777,SYNEWPLD023-0000779,,,Yes,Yes,,,,,,,,
SYNEWPLD023-0000781,SYNEWPLD023-0000781,SYNEWPLD023-0000781,,,,Yes,,,,,,,,
SYNEWPLD023-0000785,SYNEWPLD023-0000785,SYNEWPLD023-0000786,,,,,Yes,,,,,,,
SYNEWPLD023-0000789,SYNEWPLD023-0000789,SYNEWPLD023-0000791,,,,,Yes,Yes,,,,,,
SYNEWPLD023-0000793,SYNEWPLD023-0000793,SYNEWPLD023-0000793,,,,,Yes,,Yes,,,,,
SYNEWPLD023-0000797,SYNEWPLD023-0000797,SYNEWPLD023-0000798,,,,,Yes,,,Yes,,,,
SYNEWPLD023-0000801,SYNEWPLD023-0000801,SYNEWPLD023-0000803,,,,,Yes,,,,Yes,,,
SYNEWPLD023-0000805,SYNEWPLD023-0000805,SYNEWPLD023-0000805,,,,,Yes,,,,,Yes,,
SYNEWPLD023-0000809,SYNEWPLD023-0000809,SYNEWPLD023-0000810,,,,,Yes,,,,,,Yes,
SYNEWPLD023-0000813,SYNEWPLD023-0000813,SYNEWPLD023-0000815,,,,,,Yes,,,,,,Yes
SYNEWPLD023-0000817,SYNEWPLD023-0000817,SYNEWPLD023-0000817,Yes,,,,,Yes,,,,,,
SYNEWPLD023-0000821,SYNEWPLD023-0000821,SYNEWPLD023-0000822,,Yes,,,,Yes,,,,,,
SYNEWPLD023-0000825,SYNEWPLD023-0000825,SYNEWPLD023-0000827,,,Yes,,,Yes,,,,,,
SYNEWPLD023-0000829,SYNEWPLD023-0000829,SYNEWPLD023-0000829,,,,Yes,,Yes,,,,,,
SYNEWPLD023-0000833,SYNEWPLD023-0000833,SYNEWPLD023-0000834,,,,,Yes,Yes,,,,,,
SYNEWPLD023-0000837,SYNEWPLD023-0000837,SYNEWPLD023-0000839,,,,,,Yes,,,,,,
SYNEWPLD023-0000841,SYNEWPLD023-0000841,SYNEWPLD023-0000841,,,,,,,Yes,,,,,
SYNEWPLD023-0000845,SYNEWPLD023-0000845,SYNEWPLD023-0000846,,,,,,,Yes,Yes,,,,
SYNEWPLD023-0000849,SYNEWPLD023-0000849,SYNEWPLD023-0000851,,,,,,,Yes,,Yes,,,
SYNEWPLD023-0000853,SYNEWPLD023-0000853,SYNEWPLD023-0000853,,,,,,,Yes,,,Yes,,
SYNEWPLD023-0000857,SYNEWPLD023-0000857,SYNEWPLD023-0000858,,,,,,,Yes,,,,Yes,
SYNEWPLD023-0000861,SYNEWPLD023-0000861,SYNEWPLD023-0000863,,,,,,,Yes,,,,,Yes
SYNEWPLD023-0000865,SYNEWPLD023-0000865,SYNEWPLD023-0000865,Yes,,,,,,Yes,,,,,
SYNEWPLD023-0000869,SYNEWPLD023-0000869,SYNEWPLD023-0000870,,Yes,,,,,,Yes,,,,
SYNEWPLD023-0000873,SYNEWPLD023-0000873,SYNEWPLD023-0000875,,,Yes,,,,,Yes,,,,
SYNEWPLD023-0000877,SYNEWPLD023-0000877,SYNEWPLD023-0000877,,,,Yes,,,,Yes,,,,
SYNEWPLD023-0000881,SYNEWPLD023-0000881,SYNEWPLD023-0000882,,,,,Yes,,,Yes,,,,
SYNEWPLD023-0000885,SYNEWPLD023-0000885,SYNEWPLD023-0000887,,,,,,Yes,,Yes,,,,
SYNEWPLD023-0000889,SYNEWPLD023-0000889,SYNEWPLD023-0000889,,,,,,,Yes,Yes,,,,
SYNEWPLD023-0000893,SYNEWPLD023-0000893,SYNEWPLD023-0000894,,,,,,,,Yes,,,,
